fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
510,,,ABC,412000588,15,0.1,118.138983,24.3313,0.0,30,2024-04-16 20:49:43,352
636,,,ABC,412000588,15,1.7,118.138983,24.3302,144.0,30,2024-04-16 20:57:50,480
743,,,ABC,412000588,15,2.3,118.140332,24.328072,163.0,30,2024-04-16 21:01:33,565
466,,,ABC,412000588,15,0.8,118.140633,24.3264,183.3,30,2024-04-16 21:05:13,337
1433,,,ABC,412000588,15,4.3,118.140617,24.3245,157.3,0,2024-04-16 21:07:14,1049
680,,,,412000588,15,7.1,118.145735,24.31556,142.3,30,2024-04-16 21:13:44,491
897,,,ABC,412000588,15,6.8,118.150408,24.311718,126.4,30,2024-04-16 21:16:44,682
634,0.0,,ABC,412000588,15,6.5,118.158307,24.306023,123.6,30,2024-04-16 21:21:43,464
501,,,,412000588,0,6.3,118.165517,24.303,99.3,30,2024-04-16 21:25:45,350
509,0.0,,ABC,412000588,15,6.4,118.17125,24.302033,97.3,30,2024-04-16 21:28:45,353
673,,,ABC,412000588,15,6.3,118.176933,24.301867,90.5,30,2024-04-16 21:31:40,496
927,,,,412000588,15,7.1,118.1875,24.300753,113.0,30,2024-04-16 21:36:44,683
676,,,ABC,412000588,15,7.5,118.197942,24.297412,105.7,30,2024-04-16 21:41:45,513
549,,,ABC,412000588,15,7.9,118.206998,24.294582,101.7,30,2024-04-16 21:45:45,396
1149,,,ABC,412000588,15,8.0,118.216077,24.291872,115.1,30,2024-04-16 21:49:45,909
695,0.0,,ABC,412000588,0,7.8,118.2276,24.288167,111.9,30,2024-04-16 21:54:49,522
646,,,ABC,412000588,0,7.6,118.236717,24.285733,108.5,30,2024-04-16 21:58:49,470
497,,,ABC,412000588,0,7.7,118.24505,24.283267,106.9,30,2024-04-16 22:02:30,341
697,,,ABC,412000588,15,7.9,118.250598,24.281238,99.5,30,2024-04-16 22:05:01,520
1181,,,,412000588,15,7.9,118.262818,24.276807,116.3,30,2024-04-16 22:10:31,879
537,,,ABC,412000588,0,6.5,118.26875,24.274117,109.4,30,2024-04-16 22:13:31,378
566,,,ABC,412000588,15,7.7,118.275755,24.272462,98.9,30,2024-04-16 22:17:02,405
578,,,ABC,412000588,15,7.7,118.287173,24.27045,97.2,30,2024-04-16 22:22:00,409
491,,,ABC,412000588,15,7.7,118.305232,24.263513,129.4,30,2024-04-16 22:30:54,342
737,,,ABC,412000588,15,8.3,118.354917,24.258117,95.5,30,2024-04-16 22:51:45,551
576,,,ABC,412000588,15,8.4,118.365017,24.257338,90.5,30,2024-04-16 22:55:43,408
644,,,ABC,412000588,15,8.3,118.375185,24.257348,96.4,30,2024-04-16 22:59:42,484
569,,,ABC,412000588,15,8.3,118.385405,24.256798,94.2,0,2024-04-16 23:03:43,402
524,,,,412000588,15,8.3,118.484702,24.254088,85.3,30,2024-04-16 23:42:46,372
562,,,ABC,412000588,15,8.3,118.4952,24.25435,88.3,30,2024-04-16 23:46:53,402
637,,,ABC,412000588,15,8.3,118.504533,24.253865,93.9,30,2024-04-16 23:50:33,475
