fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
4116,,,CT2-5846;2       7V5,12005846,15,5.1,121.86982,24.903948,308.5,0,2024-04-15 21:33:12,2934
3835,,,CT2-5846;2       7V5,12005846,15,0.0,121.869215,24.90375,88.1,0,2024-04-16 16:46:45,2657
3882,,,CT2-5846;2       7V5,12005846,15,0.7,121.869097,24.903777,123.4,0,2024-04-16 16:58:40,2716
3887,,,CT2-5846;2       7V5,12005846,15,7.2,121.870073,24.901955,213.0,0,2024-04-16 17:03:29,2736
3902,,,CT2-5846;2       7V5,12005846,15,8.9,121.866942,24.89753,213.0,0,2024-04-16 17:05:54,2713
3932,,,CT2-5846;2       8V2,12005846,15,8.6,121.861267,24.887205,204.2,0,2024-04-16 17:10:40,2744
4218,,,CT2-5846;2       8V2,12005846,15,7.9,121.858787,24.88207,197.9,0,2024-04-16 17:13:02,2871
4053,,,CT2-5846;2       8V2,12005846,15,7.9,121.853077,24.872847,211.6,0,2024-04-16 17:17:46,2802
3888,,,CT2-5846;2       8V2,12005846,15,8.3,121.847247,24.864022,195.4,0,2024-04-16 17:22:31,2715
3784,,,CT2-5846;2       8V1,12005846,15,7.7,121.845292,24.853215,190.5,0,2024-04-16 17:27:14,2658
3998,,,CT2-5846;2       8V1,12005846,15,8.1,121.845363,24.848205,191.1,0,2024-04-16 17:29:38,2788
3901,,,CT2-5846;2       8V1,12005846,15,7.1,121.841988,24.83756,194.1,0,2024-04-16 17:34:30,2739
4164,,,CT2-5846;2       8V2,12005846,15,1.1,121.842418,24.833803,166.0,0,2024-04-16 17:39:18,2896
4206,,,CT2-5846;2       8V2,12005846,15,2.1,121.841275,24.832465,224.1,0,2024-04-16 17:48:54,2918
3991,,,CT2-5846;2       8V2,12005846,15,2.4,121.840532,24.831847,32.1,0,2024-04-16 17:51:19,2806
3793,,,CT2-5846;2       8V2,12005846,15,0.8,121.840477,24.833185,236.5,0,2024-04-16 17:56:04,2697
3935,,,CT2-5846;2       8V2,12005846,15,1.2,121.840242,24.832682,243.5,0,2024-04-16 17:58:28,2786
3984,,,CT2-5846;2       8V2,12005846,15,3.0,121.838772,24.831753,243.9,0,2024-04-16 18:03:23,2797
3731,,,CT2-5846;2       8V2,12005846,15,0.8,121.837725,24.829677,196.4,0,2024-04-16 18:08:10,2640
3926,,,CT2-5846;2       8V2,12005846,15,2.6,121.837965,24.829717,51.7,0,2024-04-16 18:10:35,2774
4281,,,CT2-5846;2       8V2,12005846,15,8.0,121.846692,24.833165,11.4,0,2024-04-16 18:17:48,3008
4175,,,CT2-5846;2       8V1,12005846,15,7.9,121.847893,24.83856,14.2,0,2024-04-16 18:20:17,2949
3865,,,CT2-5846;2       8V1,12005846,15,8.2,121.850708,24.843262,34.7,0,2024-04-16 18:22:43,2740
3884,,,CT2-5846;2       8V2,12005846,15,5.1,121.846607,24.84776,302.6,0,2024-04-16 18:27:30,2733
3881,,,CT2-5846;2       8V1,12005846,15,4.7,121.84438,24.850847,133.3,0,2024-04-16 18:32:18,2765
3911,,,CT2-5846;2       8V2,12005846,15,8.1,121.84996,24.844978,152.9,0,2024-04-16 18:35:51,2760
4390,,,CT2-5846;2       8V2,12005846,15,1.5,121.869143,24.903388,103.1,0,2024-04-17 09:03:27,3136
4645,,,CT2-5846;2       8V2,12005846,15,0.0,121.869057,24.903597,312.7,0,2024-04-17 09:06:42,3318
3919,,,CT2-5846;2       8V2,12005846,15,0.2,121.869187,24.903598,96.7,0,2024-04-17 09:16:18,2851
4354,,,CT2-5846;2       8V2,12005846,15,0.2,121.869253,24.903697,161.7,0,2024-04-17 09:18:40,3144
4357,,,CT2-5846;2       8V2,12005846,15,0.4,121.869107,24.90359,109.4,0,2024-04-17 09:23:26,3127
4265,,,CT2-5846;2       8V2,12005846,15,0.9,121.86905,24.903597,269.9,0,2024-04-17 09:32:56,3094
4136,,,CT2-5846;2       8V2,12005846,15,0.0,121.869165,24.903652,44.9,0,2024-04-17 09:37:43,2988
3902,,,CT2-5846;2       8V2,12005846,15,0.2,121.869263,24.903703,117.7,0,2024-04-17 12:15:09,2715
3919,,,CT2-5846;2       8V3,12005846,15,0.3,121.869147,24.903607,118.9,0,2024-04-17 12:20:12,2743
3738,,,CT2-5846;2       8V3,12005846,15,0.7,121.869242,24.903513,92.8,0,2024-04-17 12:22:39,2602
3979,,,CT2-5846;2       8V2,12005846,15,0.8,121.869147,24.903665,113.4,0,2024-04-17 12:27:33,2760
3985,,,CT2-5846;2       8V2,12005846,15,0.1,121.869173,24.903687,100.0,0,2024-04-17 12:32:31,2770
4177,,,CT2-5846;2       8V2,12005846,15,0.3,121.86913,24.903697,117.5,0,2024-04-17 12:37:25,2926
4105,,,CT2-5846;2       8V2,12005846,15,0.4,121.869048,24.9039,134.4,0,2024-04-17 12:40:00,2865
3949,,,CT2-5846;2       8V2,12005846,15,0.4,121.868812,24.903687,172.5,0,2024-04-17 12:45:07,2751
