fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
2293,,,1590-4-60%,600159004,15,23.8,117.337113,23.352053,27.1,0,2024-04-22 18:16:00,1672
2079,,,1590-4-60%,600159004,15,24.0,117.390845,23.431113,29.5,0,2024-04-22 18:31:00,1542
1899,,,1590-4-60%,600159004,15,26.8,117.436225,23.51506,28.2,0,2024-04-22 18:46:00,1391
1913,,,1590-4-60%,600159004,15,25.3,117.469858,23.611673,21.2,0,2024-04-22 19:01:00,1414
2399,,,1590-4-60%,600159004,15,23.2,117.501145,23.67211,30.9,0,2024-04-22 19:12:00,1747
1778,,,1590-4-57%,600159004,15,23.3,117.50406,23.47968,6.7,0,2024-04-23 18:16:00,1252
1969,,,1590-4-57%,600159004,15,23.3,117.50406,23.47968,6.7,0,2024-04-23 18:16:00,1368
2242,,,1590-4-57%,600159004,15,23.3,117.50406,23.47968,6.7,0,2024-04-23 18:16:00,1575
2706,,,1590-4-57%,600159004,15,22.0,117.523982,23.564162,12.0,0,2024-04-23 18:31:00,1897
2703,,,1590-4-57%,600159004,15,22.0,117.523982,23.564162,12.0,0,2024-04-23 18:31:00,1909
