fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
1447,,BJ4710,,416000302,15,8.9,122.413485,25.6003,6.5,30,2024-04-15 21:41:22,1111
1555,,BJ4710,,416000302,15,8.7,122.416428,25.612118,48.9,30,2024-04-15 21:46:22,1152
1527,,BJ4710,,416000302,15,9.5,122.425547,25.615212,74.0,30,2024-04-15 21:49:52,1148
1510,,BJ4710,,416000302,15,10.3,122.433015,25.610358,169.8,30,2024-04-15 21:53:53,1139
1483,,BJ4710,,416000302,15,10.7,122.434188,25.606262,165.7,30,2024-04-15 21:55:22,1121
1564,,BJ4710,,416000302,15,7.0,122.446368,25.586212,97.0,30,2024-04-15 22:07:53,1160
1699,,BJ4710,,416000302,15,2.4,122.455355,25.582827,330.4,30,2024-04-15 22:18:32,1247
1583,,BJ4710,,416000302,15,3.1,122.454033,25.584862,330.9,30,2024-04-15 22:21:32,1194
1453,,BJ4710,,416000302,15,6.8,122.452218,25.595735,11.3,30,2024-04-15 22:27:33,1091
1515,,,JIN FENG XIANG NO.26,416000302,15,3.3,122.454467,25.605442,349.9,0,2024-04-15 22:32:32,1125
1297,,BJ4710,,416000302,15,9.6,122.449138,25.604385,247.8,30,2024-04-15 22:39:53,1024
1416,,,JIN FENG XIANG NO.26,416000302,15,8.4,122.440768,25.608092,294.5,0,2024-04-15 22:43:52,1089
1798,,,JIN FENG XIANG NO.26,416000302,15,10.1,122.42893,25.604332,274.1,0,2024-04-15 22:47:52,1277
1386,,BJ4710,,416000302,15,9.2,122.422827,25.611947,15.4,30,2024-04-15 22:51:52,1039
1468,,BJ4710,,416000302,15,9.4,122.423248,25.61451,6.0,30,2024-04-15 22:52:52,1093
1423,,BJ4710,,416000302,15,2.4,122.418075,25.623593,259.5,30,2024-04-15 23:00:03,1101
1514,,BJ4710,,416000302,15,1.5,122.417792,25.623618,305.9,30,2024-04-15 23:03:02,1137
1420,,BJ4710,,416000302,15,0.4,122.417285,25.623955,352.9,30,2024-04-15 23:06:04,1070
1395,,,JIN FENG XIANG NO.26,416000302,15,0.4,122.417472,25.62446,86.3,0,2024-04-15 23:30:03,1040
1508,,BJ4710,,416000302,15,0.3,122.417518,25.624493,87.9,30,2024-04-15 23:36:03,1117
1280,,BJ4710,,416000302,15,0.2,122.4175,25.624512,334.4,30,2024-04-15 23:39:02,971
1356,,BJ4710,,416000302,15,2.4,122.417915,25.624388,112.4,30,2024-04-15 23:49:07,990
1353,,BJ4710,,416000302,15,1.7,122.418838,25.623298,151.1,30,2024-04-15 23:51:13,1008
1484,,BJ4710,,416000302,15,9.8,122.415383,25.61815,203.5,30,2024-04-15 23:57:14,1083
1511,,BJ4710,,416000302,15,9.8,122.405927,25.60927,232.1,30,2024-04-16 00:01:43,1135
1673,,BJ4710,,416000302,15,10.3,122.395845,25.60217,232.2,30,2024-04-16 00:05:43,1192
1557,,BJ4710,,416000302,15,10.4,122.385643,25.595148,233.7,30,2024-04-16 00:09:42,1151
1421,,BJ4710,,416000302,15,10.6,122.375518,25.588553,235.1,30,2024-04-16 00:13:47,1060
1502,,BJ4710,,416000302,15,10.2,122.370072,25.585155,234.5,30,2024-04-16 00:15:42,1106
1484,,BJ4710,,416000302,15,9.7,122.35723,25.577375,232.7,30,2024-04-16 00:20:42,1045
1202,,BJ4710,,416000302,15,9.1,122.350795,25.573535,235.8,30,2024-04-16 00:23:13,887
1281,,BJ4710,,416000302,15,9.2,122.334565,25.564038,234.5,30,2024-04-16 00:29:44,940
1383,,BJ4710,,416000302,15,9.1,122.322388,25.556658,233.2,30,2024-04-16 00:34:43,1035
1355,,BJ4710,,416000302,15,9.6,122.312732,25.550907,245.2,30,2024-04-16 00:38:42,1026
1361,,BJ4710,,416000302,15,10.1,122.301773,25.546353,246.8,30,2024-04-16 00:42:43,1022
1396,,BJ4710,,416000302,15,9.8,122.290757,25.541742,242.4,30,2024-04-16 00:46:46,1040
1490,,BJ4710,,416000302,15,9.9,122.279877,25.537303,242.5,30,2024-04-16 00:50:42,1109
1553,,BJ4710,,416000302,15,9.6,122.269105,25.532778,241.6,30,2024-04-16 00:54:42,1157
1492,,BJ4710,,416000302,15,10.4,122.257212,25.530063,265.2,30,2024-04-16 00:58:43,1066
1553,,BJ4710,,416000302,15,9.0,122.24574,25.52649,228.8,30,2024-04-16 01:02:43,1117
1170,,BJ4710,,416000302,15,10.0,122.231927,25.524483,279.1,30,2024-04-16 01:07:42,880
1544,,BJ4710,,416000302,15,9.5,122.220405,25.522553,241.9,30,2024-04-16 01:11:43,1116
1490,,BJ4710,,416000302,15,10.4,122.208873,25.519127,246.6,30,2024-04-16 01:15:43,1100
1506,,,JIN FENG XIANG NO.26,416000302,15,10.5,122.196473,25.517645,269.3,0,2024-04-16 01:19:42,1127
1380,,,JIN FENG XIANG NO.26,416000302,15,10.5,122.183275,25.517445,265.2,0,2024-04-16 01:23:47,1048
1285,,BJ4710,,416000302,15,4.2,122.17179,25.516115,235.9,30,2024-04-16 01:27:48,974
1617,,BJ4710,,416000302,15,0.9,122.170803,25.515572,22.1,30,2024-04-16 01:31:14,1135
1373,,BJ4710,,416000302,15,0.7,122.170383,25.515388,296.8,30,2024-04-16 01:34:13,1014
1173,,BJ4710,,416000302,15,0.6,122.169965,25.515733,275.4,30,2024-04-16 01:37:15,873
1217,,BJ4710,,416000302,15,2.3,122.168738,25.515875,256.5,30,2024-04-16 01:42:07,883
1315,,BJ4710,,416000302,15,0.6,122.168682,25.51577,121.5,30,2024-04-16 01:45:08,936
1283,,BJ4710,,416000302,15,1.3,122.167483,25.516732,293.4,30,2024-04-16 01:51:09,967
1487,,BJ4710,,416000302,15,0.5,122.16649,25.51704,319.9,30,2024-04-16 01:54:09,1086
1361,,BJ4710,,416000302,15,1.5,122.166012,25.516803,286.3,30,2024-04-16 01:58:45,985
1260,,BJ4710,,416000302,15,2.9,122.164662,25.515908,254.2,30,2024-04-16 02:00:48,920
1296,,BJ4710,,416000302,15,1.2,122.162202,25.515942,300.4,30,2024-04-16 02:07:44,949
1207,,BJ4710,,416000302,15,8.4,122.161977,25.51785,16.8,30,2024-04-16 02:12:46,921
1319,,BJ4710,,416000302,15,3.3,122.160142,25.521993,303.7,30,2024-04-16 02:15:42,963
1160,,BJ4710,,416000302,15,1.3,122.159232,25.522308,299.1,30,2024-04-16 02:18:45,833
977,,BJ4710,,416000302,15,1.3,122.157477,25.523102,344.7,30,2024-04-16 02:24:44,753
1034,,BJ4710,,416000302,15,1.3,122.156977,25.523888,323.9,30,2024-04-16 02:27:45,774
1058,,BJ4710,,416000302,15,0.9,122.156558,25.524445,340.3,30,2024-04-16 02:30:46,809
1314,,BJ4710,,416000302,15,0.5,122.15626,25.525053,320.5,30,2024-04-16 02:33:47,945
1258,,BJ4710,,416000302,15,1.2,122.155403,25.52528,262.8,30,2024-04-16 02:39:42,906
1158,,BJ4710,,416000302,15,0.9,122.154793,25.52604,324.7,30,2024-04-16 02:45:45,849
1203,,BJ4710,,416000302,15,0.8,122.154197,25.526625,325.2,30,2024-04-16 02:48:45,863
1158,,BJ4710,,416000302,15,2.4,122.153317,25.527242,329.2,30,2024-04-16 02:51:20,862
1342,,BJ4710,,416000302,15,0.7,122.15406,25.527708,322.0,30,2024-04-16 02:57:18,959
1783,,BJ4710,,416000302,15,1.2,122.153575,25.528183,327.2,30,2024-04-16 03:00:19,1238
1394,,BJ4710,,416000302,15,1.3,122.154032,25.52832,88.2,30,2024-04-16 03:03:18,1056
1270,,BJ4710,,416000302,15,0.4,122.15448,25.528507,344.6,30,2024-04-16 03:06:18,961
1496,,BJ4710,,416000302,15,0.6,122.1533,25.529948,24.7,30,2024-04-16 03:13:28,1088
1234,,BJ4710,,416000302,15,0.5,122.153503,25.530175,3.6,30,2024-04-16 03:16:31,909
1378,,BJ4710,,416000302,15,2.1,122.153032,25.53098,333.9,30,2024-04-16 03:20:33,1017
1662,,BJ4710,,416000302,15,1.2,122.152533,25.53156,328.2,30,2024-04-16 03:23:35,1166
1303,,BJ4710,,416000302,15,1.1,122.150887,25.532808,301.8,30,2024-04-16 03:32:35,921
1077,,BJ4710,,416000302,15,0.4,122.150303,25.533188,317.5,30,2024-04-16 03:35:35,780
1172,,BJ4710,,416000302,15,0.8,122.148927,25.534113,305.9,30,2024-04-16 03:41:35,838
1029,,BJ4710,,416000302,15,0.8,122.148448,25.534465,311.8,30,2024-04-16 03:44:35,758
1124,,BJ4710,,416000302,15,1.6,122.147183,25.535448,267.9,30,2024-04-16 03:50:36,803
1188,,,JIN FENG XIANG NO.26,416000302,15,2.0,122.143395,25.538402,277.4,0,2024-04-16 03:54:37,854
1079,,,JIN FENG XIANG NO.26,416000302,15,6.5,122.139713,25.538718,225.6,0,2024-04-16 03:58:50,811
1416,,BJ4710,,416000302,15,0.1,122.138913,25.537402,266.5,30,2024-04-16 04:02:55,967
1039,,BJ4710,,416000302,15,3.3,122.13687,25.535282,140.6,30,2024-04-16 04:06:01,764
1050,,BJ4710,,416000302,15,0.5,122.13735,25.534852,22.2,30,2024-04-16 04:08:59,750
852,,BJ4710,,416000302,15,10.5,122.125405,25.532268,249.0,30,2024-04-16 04:15:49,641
1221,,BJ4710,,416000302,15,10.0,122.113652,25.52889,252.9,30,2024-04-16 04:19:48,836
989,,BJ4710,,416000302,15,9.9,122.10185,25.525373,248.9,30,2024-04-16 04:23:50,697
1160,,BJ4710,,416000302,15,10.5,122.092862,25.522833,256.6,30,2024-04-16 04:26:49,817
914,,BJ4710,,416000302,15,11.0,122.080398,25.519777,249.8,30,2024-04-16 04:30:51,689
878,,BJ4710,,416000302,15,4.3,122.068748,25.516272,223.6,30,2024-04-16 04:34:50,658
837,,BJ4710,,416000302,15,0.2,122.067635,25.516217,113.7,30,2024-04-16 04:39:55,608
1212,,BJ4710,,416000302,15,0.3,122.067802,25.51623,64.6,30,2024-04-16 04:42:53,843
843,,BJ4710,,416000302,15,0.5,122.067995,25.516228,118.7,30,2024-04-16 04:45:56,614
1099,,BJ4710,,416000302,15,0.3,122.06822,25.51605,114.8,30,2024-04-16 04:51:55,795
907,,BJ4710,,416000302,15,0.3,122.068305,25.515922,141.5,30,2024-04-16 04:54:55,684
961,,BJ4710,,416000302,15,0.1,122.068455,25.51574,145.1,30,2024-04-16 04:57:55,667
952,,BJ4710,,416000302,15,0.3,122.068993,25.515428,133.6,30,2024-04-16 05:03:55,691
912,,BJ4710,,416000302,15,1.0,122.069328,25.51527,124.6,30,2024-04-16 05:06:54,669
845,,BJ4710,,416000302,15,0.6,122.069605,25.515038,141.3,30,2024-04-16 05:09:54,622
909,,BJ4710,,416000302,15,0.2,122.070197,25.51476,72.2,30,2024-04-16 05:15:55,679
850,,BJ4710,,416000302,15,0.5,122.070445,25.51472,65.4,30,2024-04-16 05:18:57,637
955,,BJ4710,,416000302,15,0.7,122.070637,25.514612,21.2,30,2024-04-16 05:21:53,717
1062,,BJ4710,,416000302,15,0.5,122.070702,25.514595,45.6,30,2024-04-16 05:24:55,766
967,,BJ4710,,416000302,15,0.8,122.070892,25.514563,42.8,30,2024-04-16 05:30:55,715
1129,,BJ4710,,416000302,15,0.0,122.07108,25.514588,63.7,30,2024-04-16 05:33:56,810
1234,,BJ4710,,416000302,15,0.8,122.071207,25.514673,95.2,30,2024-04-16 05:39:55,910
1178,,BJ4710,,416000302,15,0.0,122.07127,25.514717,155.3,30,2024-04-16 05:42:55,867
1406,,BJ4710,,416000302,15,0.2,122.071532,25.515088,19.2,30,2024-04-16 05:48:56,1015
1117,,BJ4710,,416000302,15,0.6,122.071625,25.515398,14.3,30,2024-04-16 05:50:40,836
1166,,BJ4710,,416000302,15,0.3,122.071688,25.5162,68.9,30,2024-04-16 05:56:40,852
970,,BJ4710,,416000302,15,0.8,122.071668,25.516237,247.4,30,2024-04-16 05:59:40,743
907,,BJ4710,,416000302,15,1.3,122.071635,25.516347,7.4,30,2024-04-16 06:02:40,670
1358,,BJ4710,,416000302,15,0.8,122.07164,25.516472,5.1,30,2024-04-16 06:08:40,999
1415,,BJ4710,,416000302,15,0.8,122.071628,25.51655,291.2,30,2024-04-16 06:11:40,1068
2351,,BJ4710,,416000302,15,0.4,122.071492,25.516862,20.0,30,2024-04-16 06:17:38,1744
1717,,BJ4710,,416000302,15,0.3,122.071475,25.516947,331.7,30,2024-04-16 06:20:40,1342
1776,,BJ4710,,416000302,15,0.7,122.071363,25.517085,275.9,30,2024-04-16 06:23:50,1391
1646,,BJ4710,,416000302,15,0.4,122.071268,25.517243,324.7,30,2024-04-16 06:29:38,1295
1536,,BJ4710,,416000302,15,0.1,122.071222,25.517303,10.9,30,2024-04-16 06:32:40,1200
1578,,BJ4710,,416000302,15,0.2,122.071205,25.517317,203.2,30,2024-04-16 06:35:38,1187
1673,,BJ4710,,416000302,15,0.2,122.071097,25.517308,218.3,30,2024-04-16 06:44:40,1225
1741,,BJ4710,,416000302,15,0.5,122.071218,25.517258,189.0,30,2024-04-16 06:47:40,1287
1740,,BJ4710,,416000302,15,0.7,122.071243,25.517218,195.3,30,2024-04-16 06:53:49,1371
1870,,BJ4710,,416000302,15,0.2,122.071222,25.517015,195.7,30,2024-04-16 07:02:41,1388
1548,,BJ4710,,416000302,15,0.5,122.071298,25.516968,145.9,30,2024-04-16 07:05:40,1217
1638,,BJ4710,,416000302,15,0.2,122.071372,25.516713,168.2,30,2024-04-16 07:14:42,1228
1549,,BJ4710,,416000302,15,0.4,122.071452,25.516665,209.8,30,2024-04-16 07:17:40,1186
1547,,BJ4710,,416000302,15,0.2,122.07146,25.516603,192.6,30,2024-04-16 07:20:39,1193
1579,,BJ4710,,416000302,15,0.0,122.071467,25.516572,174.2,30,2024-04-16 07:23:51,1181
1351,,BJ4710,,416000302,15,0.4,122.071485,25.51651,228.1,30,2024-04-16 07:29:40,1061
1645,,BJ4710,,416000302,15,0.1,122.071528,25.51649,239.2,30,2024-04-16 07:35:38,1262
1726,,BJ4710,,416000302,15,0.6,122.071527,25.516478,214.1,30,2024-04-16 07:38:38,1344
1828,,BJ4710,,416000302,15,0.3,122.071497,25.51645,201.7,30,2024-04-16 07:41:40,1373
1608,,BJ4710,,416000302,15,0.2,122.071518,25.516438,176.3,30,2024-04-16 07:44:40,1223
1661,,BJ4710,,416000302,15,0.4,122.071547,25.516397,185.5,30,2024-04-16 07:50:40,1262
1819,,BJ4710,,416000302,15,0.5,122.07155,25.516383,222.4,30,2024-04-16 07:53:51,1357
1747,,BJ4710,,416000302,15,0.7,122.071518,25.516362,199.5,30,2024-04-16 07:56:40,1325
1629,,,JIN FENG XIANG NO.26,416000302,15,0.3,122.071537,25.516225,218.6,0,2024-04-16 08:02:39,1230
1731,,BJ4710,,416000302,15,0.4,122.07161,25.516098,39.4,30,2024-04-16 08:14:38,1260
