fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
2913,,,,82060022,15,2.3,121.332092,22.986308,29.0,0,2024-04-23 02:21:43,2036
2801,,,,82060022,15,2.3,121.333358,22.988627,29.0,0,2024-04-23 02:25:58,1956
3277,,,AIB1561848-01,82060022,15,2.2,121.33395,22.989708,29.0,0,2024-04-23 02:29:08,2321
3281,,,,82060022,15,2.4,121.33527,22.991977,29.0,0,2024-04-23 02:32:20,2352
3454,,,,82060022,15,2.2,121.335928,22.993027,29.0,0,2024-04-23 02:35:31,2471
3130,,,,82060022,15,2.3,121.337798,22.996403,29.0,0,2024-04-23 02:41:52,2247
3132,,,,82060022,15,2.4,121.339085,22.998697,29.0,0,2024-04-23 02:45:03,2260
3187,,,,82060022,15,2.4,121.340532,23.000895,39.0,0,2024-04-23 02:49:17,2300
3274,,,,82060022,15,3.1,121.340373,23.000597,219.0,0,2024-04-23 02:53:32,2343
3127,,,,82060022,15,4.6,121.337983,22.997213,209.0,0,2024-04-23 02:57:47,2257
3175,,,,82060022,15,4.8,121.336475,22.994987,219.0,0,2024-04-23 03:00:58,2280
3010,,,,82060022,15,4.6,121.333363,22.990925,219.0,0,2024-04-23 03:05:14,2159
3309,,,,82060022,15,4.7,121.332128,22.986128,179.0,0,2024-04-23 03:09:28,2363
3174,,,,82060022,15,2.9,121.333865,22.988332,29.0,0,2024-04-23 03:13:43,2266
3180,,,,82060022,15,3.1,121.335447,22.991283,29.0,0,2024-04-23 03:18:00,2284
3070,,,,82060022,15,3.0,121.337017,22.994238,29.0,0,2024-04-23 03:22:17,2223
3345,,,,82060022,15,3.4,121.339027,22.997737,29.0,0,2024-04-23 03:26:30,2423
3406,,,AIB1561848-01,82060022,15,2.9,121.339815,22.999125,29.0,0,2024-04-23 03:29:40,2461
3277,,,,82060022,15,7.0,121.347142,22.998665,99.0,0,2024-04-23 03:32:52,2380
3739,,,,82060022,15,3.4,121.347627,22.995483,199.0,0,2024-04-23 03:38:15,2674
3170,,,AIB1561848-01,82060022,15,3.1,121.349822,22.99739,29.0,0,2024-04-23 03:42:29,2292
3564,,,,82060022,15,5.5,121.355222,22.998693,89.0,0,2024-04-23 03:45:42,2560
3101,,,,82060022,15,5.8,121.358663,22.998905,89.0,0,2024-04-23 03:48:52,2233
3049,,,,82060022,15,5.7,121.368588,22.999628,89.0,0,2024-04-23 03:55:14,2219
