fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
3114,,,YU JIN              ,416001976,15,1.3,121.68905,25.205685,242.2,0,2024-04-16 23:50:30,2257
3120,,BJ3418 ,,416001976,15,8.7,121.688028,25.207843,4.6,30,2024-04-16 23:54:48,2267
3549,,,YU JIN              ,416001976,15,8.5,121.689287,25.217413,9.5,30,2024-04-16 23:58:48,2568
3465,,BJ3418 ,,416001976,15,8.5,121.688372,25.22938,340.8,30,2024-04-17 00:03:55,2521
3290,,,YU JIN              ,416001976,15,8.6,121.684875,25.2381,340.7,30,2024-04-17 00:07:55,2407
3228,,,YU JIN              ,416001976,15,8.8,121.681368,25.246925,337.3,0,2024-04-17 00:11:55,2345
3322,,BJ3418 ,,416001976,15,8.4,121.677265,25.255735,330.7,30,2024-04-17 00:15:55,2420
3060,,BJ3418 ,,416001976,15,9.1,121.674757,25.262967,342.4,30,2024-04-17 00:19:02,2205
3495,,,YU JIN              ,416001976,15,8.4,121.671545,25.274542,351.5,0,2024-04-17 00:23:55,2512
3258,,BJ3418 ,,416001976,15,9.0,121.669333,25.283632,349.5,30,2024-04-17 00:27:42,2337
3253,,,YU JIN              ,416001976,15,8.9,121.666818,25.293985,348.4,30,2024-04-17 00:31:55,2330
3199,,,YU JIN              ,416001976,15,9.1,121.663798,25.303678,341.4,0,2024-04-17 00:35:55,2287
2912,,BJ3418 ,,416001976,15,8.9,121.660495,25.313082,345.9,30,2024-04-17 00:39:55,2072
2849,,,YU JIN              ,416001976,15,8.7,121.657383,25.32243,347.6,30,2024-04-17 00:43:55,2014
2878,,,YU JIN              ,416001976,15,8.9,121.654498,25.33182,349.7,0,2024-04-17 00:47:52,2025
2844,,,YU JIN              ,416001976,15,8.6,121.6522,25.338648,339.2,0,2024-04-17 00:50:48,2004
3060,,,YU JIN              ,416001976,15,9.3,121.647962,25.350652,336.6,30,2024-04-17 00:55:55,2185
3315,,BJ3418 ,,416001976,15,9.1,121.643867,25.362197,338.2,30,2024-04-17 01:00:48,2372
3089,,BJ3418 ,,416001976,15,8.7,121.641263,25.369415,346.9,30,2024-04-17 01:03:55,2223
2924,,,YU JIN              ,416001976,15,8.5,121.637247,25.38088,342.5,0,2024-04-17 01:08:45,2072
2928,,BJ3418 ,,416001976,15,8.6,121.633683,25.390238,337.9,30,2024-04-17 01:12:48,2077
3203,,,YU JIN              ,416001976,15,8.7,121.630012,25.399335,339.6,30,2024-04-17 01:16:48,2306
3164,,,YU JIN              ,416001976,15,9.1,121.62605,25.408462,329.6,0,2024-04-17 01:20:48,2282
3199,,BJ3418 ,,416001976,15,9.0,121.622675,25.417785,349.8,30,2024-04-17 01:24:48,2325
3500,,,YU JIN              ,416001976,15,8.8,121.620072,25.427698,341.2,0,2024-04-17 01:28:58,2524
3434,,BJ3418 ,,416001976,15,8.8,121.617053,25.439177,346.8,30,2024-04-17 01:33:52,2482
3340,,,YU JIN              ,416001976,15,8.6,121.614515,25.448588,349.2,30,2024-04-17 01:37:52,2435
3147,,,YU JIN              ,416001976,15,8.9,121.612783,25.455392,345.5,30,2024-04-17 01:40:45,2280
3234,,BJ3418 ,,416001976,15,8.5,121.609703,25.46643,346.3,30,2024-04-17 01:45:25,2359
3063,,BJ3418 ,,416001976,15,8.8,121.607257,25.474897,342.0,30,2024-04-17 01:48:58,2238
3394,,,YU JIN              ,416001976,15,9.1,121.604142,25.485445,345.6,30,2024-04-17 01:53:28,2490
3343,,,YU JIN              ,416001976,15,8.5,121.601037,25.496067,350.5,30,2024-04-17 01:57:52,2427
3268,,,YU JIN              ,416001976,15,8.7,121.599858,25.500353,347.1,0,2024-04-17 01:59:38,2353
2996,,,YU JIN              ,416001976,15,8.9,121.597713,25.50782,341.9,30,2024-04-17 02:02:45,2130
3064,,,YU JIN              ,416001976,15,8.8,121.592595,25.524955,345.9,0,2024-04-17 02:09:52,2189
3127,,,YU JIN              ,416001976,15,9.0,121.58979,25.534692,346.6,30,2024-04-17 02:13:52,2238
3449,,BJ3418 ,,416001976,15,9.1,121.586783,25.545545,347.0,30,2024-04-17 02:18:18,2502
3495,,BJ3418 ,,416001976,15,9.4,121.586313,25.547178,347.7,30,2024-04-17 02:18:58,2522
3289,,BJ3418 ,,416001976,15,8.8,121.57902,25.569475,345.9,30,2024-04-17 02:28:05,2400
3330,,BJ3418 ,,416001976,15,9.4,121.570878,25.59227,340.3,30,2024-04-17 02:37:25,2410
3276,,BJ3418 ,,416001976,15,7.9,121.527298,25.667972,271.5,30,2024-04-17 04:21:16,2394
3426,,,YU JIN              ,416001976,15,1.8,121.531618,25.752152,217.0,30,2024-04-17 05:43:59,2548
3596,,BJ3418 ,,416001976,15,9.1,121.521887,25.751943,265.8,30,2024-04-17 05:51:33,2690
3599,,,YU JIN              ,416001976,15,9.3,121.51271,25.75119,267.7,30,2024-04-17 05:54:53,2712
3751,,,YU JIN              ,416001976,15,8.8,121.498588,25.75138,273.9,30,2024-04-17 06:00:00,2815
3371,,BJ3418 ,,416001976,15,8.9,121.487647,25.751363,268.9,30,2024-04-17 06:04:00,2514
3533,,,YU JIN              ,416001976,15,9.0,121.476783,25.75124,268.2,30,2024-04-17 06:08:00,2617
3693,,,YU JIN              ,416001976,15,8.4,121.466252,25.750845,265.4,0,2024-04-17 06:11:59,2743
3367,,BJ3418 ,,416001976,15,8.6,121.455737,25.750513,269.0,30,2024-04-17 06:16:00,2521
3690,,,YU JIN              ,416001976,15,8.2,121.445158,25.750613,272.0,30,2024-04-17 06:20:00,2757
3646,,BJ3418 ,,416001976,15,7.9,121.433552,25.75044,273.4,30,2024-04-17 06:24:26,2731
3419,,,YU JIN              ,416001976,15,8.1,121.431233,25.750417,273.0,0,2024-04-17 06:25:20,2549
