fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
2454,, ,,416004062,15,4.5,120.271037,22.613217,8.3,30,2024-04-16 16:59:45,1702
2436,, ,,416004062,15,0.0,120.267553,22.617295,283.9,30,2024-04-16 17:03:45,1701
2476,, ,,416004062,15,7.9,120.266237,22.616747,292.6,30,2024-04-16 17:07:45,1708
2447,, ,,416004062,15,8.8,120.256097,22.619778,291.5,30,2024-04-16 17:11:45,1692
2209,, ,,416004062,15,8.0,120.246628,22.623587,292.4,30,2024-04-16 17:15:45,1511
2423,, ,,416004062,15,7.6,120.2378,22.62684,291.7,30,2024-04-16 17:19:45,1685
2315,, ,,416004062,15,7.9,120.229257,22.630327,289.6,30,2024-04-16 17:23:45,1602
2376,, ,,416004062,15,7.8,120.220523,22.63351,290.1,30,2024-04-16 17:27:45,1675
2383,, ,,416004062,15,7.4,120.211723,22.636043,284.5,30,2024-04-16 17:31:47,1665
2432,, ,,416004062,15,7.7,120.200687,22.639097,286.8,30,2024-04-16 17:36:45,1683
2273,, ,,416004062,15,7.6,120.193905,22.641048,287.3,30,2024-04-16 17:39:46,1611
2163,, ,,416004062,15,7.3,120.183325,22.64377,286.2,30,2024-04-16 17:44:46,1519
2134,, ,,416004062,15,7.5,120.17485,22.645947,286.1,30,2024-04-16 17:48:46,1501
2334,, ,,416004062,15,7.2,120.16649,22.648185,282.5,30,2024-04-16 17:52:46,1649
2388,,, ,416004062,15,7.4,120.158167,22.650407,283.4,0,2024-04-16 17:56:46,1700
2322,,, ,416004062,15,7.3,120.149792,22.65269,287.8,0,2024-04-16 18:00:46,1636
2378,,, ,416004062,15,7.1,120.141517,22.654873,284.9,0,2024-04-16 18:04:46,1692
2308,,, ,416004062,15,6.9,120.134198,22.65654,278.8,0,2024-04-16 18:08:17,1610
2302,, ,,416004062,15,6.7,120.125142,22.658435,284.7,30,2024-04-16 18:12:47,1621
2470,,, ,416004062,15,6.9,120.115263,22.660882,285.6,0,2024-04-16 18:17:47,1761
2482,,, ,416004062,15,7.0,120.107457,22.662958,286.0,0,2024-04-16 18:21:49,1744
2328,,, ,416004062,15,7.1,120.101467,22.664423,284.9,0,2024-04-16 18:24:48,1634
2281,,, ,416004062,15,7.0,120.095293,22.665907,285.5,0,2024-04-16 18:27:48,1605
2461,,, ,416004062,15,7.0,120.083098,22.669108,284.6,0,2024-04-16 18:33:48,1738
2348,, ,,416004062,15,7.4,120.074948,22.671233,283.7,30,2024-04-16 18:37:47,1642
2264,,, ,416004062,15,6.8,120.066858,22.673532,287.8,0,2024-04-16 18:41:48,1609
2241,,, ,416004062,15,7.0,120.058905,22.67589,289.8,0,2024-04-16 18:45:47,1610
2471,,, ,416004062,15,6.9,120.05085,22.678253,288.4,0,2024-04-16 18:49:48,1761
2385,, ,,416004062,15,7.0,120.044868,22.680135,286.8,30,2024-04-16 18:52:48,1682
2392,, ,,416004062,15,7.0,120.036773,22.682585,285.5,30,2024-04-16 18:56:48,1703
2185,, ,,416004062,15,7.2,120.027492,22.685128,287.0,30,2024-04-16 19:01:18,1531
2273,, ,,416004062,15,7.1,120.016145,22.688342,286.4,30,2024-04-16 19:06:48,1590
2206,, ,,416004062,15,7.1,120.012045,22.689538,284.8,30,2024-04-16 19:08:48,1537
2253,,, ,416004062,15,7.3,120.004835,22.691718,288.1,0,2024-04-16 19:12:18,1573
2265,,, ,416004062,15,7.3,119.856587,22.743905,292.0,0,2024-04-16 20:24:21,1599
2131,,, ,416004062,15,7.3,119.815028,22.75868,290.4,0,2024-04-16 20:44:21,1506
2346,,, ,416004062,15,7.9,119.782235,22.771898,298.0,0,2024-04-16 21:00:21,1663
2275,,, ,416004062,15,7.4,119.760055,22.780275,293.8,0,2024-04-16 21:10:52,1624
2068,,, ,416004062,15,7.5,119.73001,22.792298,291.6,0,2024-04-16 21:25:22,1463
2209,,, ,416004062,15,6.9,119.655347,22.822252,294.7,0,2024-04-16 22:04:23,1568
2347,,, ,416004062,15,6.6,119.630677,22.834793,304.9,0,2024-04-16 22:18:23,1687
2376,,, ,416004062,15,7.2,119.624485,22.838387,299.9,0,2024-04-16 22:21:53,1699
2527,,, ,416004062,15,7.8,119.569503,22.86458,298.4,0,2024-04-16 22:49:53,1833
2324,,, ,416004062,15,8.1,119.54785,22.874722,298.8,0,2024-04-16 23:00:24,1671
2330,,, ,416004062,15,8.5,119.462985,22.916803,298.7,0,2024-04-16 23:40:24,1667
2456,,, ,416004062,15,8.2,119.441505,22.929513,306.5,0,2024-04-16 23:50:25,1763
2342,,, ,416004062,15,8.6,119.437402,22.932432,306.2,0,2024-04-16 23:52:25,1713
2459,, ,,416004062,15,8.5,119.42503,22.941137,308.0,30,2024-04-16 23:58:25,1788
2344,, ,,416004062,15,8.6,119.413655,22.949107,308.1,30,2024-04-17 00:03:55,1684
2360,, ,,416004062,15,8.4,119.412617,22.94985,307.3,30,2024-04-17 00:04:25,1706
2354,,, ,416004062,15,9.0,119.400403,22.959242,309.6,0,2024-04-17 00:10:25,1688
2324,,, ,416004062,15,8.5,119.392483,22.965918,309.4,0,2024-04-17 00:14:25,1668
2252,,, ,416004062,15,8.8,119.38452,22.97254,308.7,0,2024-04-17 00:18:25,1593
2216,,, ,416004062,15,8.9,119.373538,22.981578,314.1,0,2024-04-17 00:23:55,1574
2141,, ,,416004062,15,9.4,119.365373,22.988213,314.8,30,2024-04-17 00:27:55,1514
2235,,, ,416004062,15,9.0,119.357257,22.995155,312.2,0,2024-04-17 00:31:55,1567
2240,, ,,416004062,15,9.8,119.350162,23.001673,314.8,30,2024-04-17 00:35:25,1569
2058,, ,,416004062,15,9.4,119.341992,23.009262,315.1,30,2024-04-17 00:39:25,1451
2008,,, ,416004062,15,9.3,119.332608,23.017993,308.7,0,2024-04-17 00:43:55,1411
1921,,, ,416004062,15,10.1,119.324095,23.025747,317.8,0,2024-04-17 00:47:55,1337
1961,, ,,416004062,15,9.7,119.31792,23.031758,319.1,30,2024-04-17 00:50:55,1347
2170,, ,,416004062,15,10.1,119.307462,23.041693,313.1,30,2024-04-17 00:55:55,1531
2290,, ,,416004062,15,9.9,119.298948,23.049563,311.2,30,2024-04-17 00:59:55,1634
2255,, ,,416004062,15,10.0,119.290205,23.057028,311.0,30,2024-04-17 01:03:55,1596
2305,, ,,416004062,15,9.8,119.27956,23.06627,309.3,30,2024-04-17 01:08:55,1631
2222,,, ,416004062,15,9.4,119.270968,23.073042,308.4,0,2024-04-17 01:12:55,1545
2279,, ,,416004062,15,9.7,119.262245,23.080072,309.1,30,2024-04-17 01:16:55,1609
2256,, ,,416004062,15,8.7,119.25382,23.086745,314.1,30,2024-04-17 01:20:55,1592
2295,, ,,416004062,15,9.4,119.245257,23.093492,312.4,30,2024-04-17 01:24:55,1645
2357,, ,,416004062,15,9.5,119.234723,23.102228,309.9,30,2024-04-17 01:29:55,1675
2428,, ,,416004062,15,9.6,119.217338,23.116505,314.5,30,2024-04-17 01:37:55,1760
2454,,, ,416004062,15,9.6,119.210713,23.121763,311.5,0,2024-04-17 01:40:55,1758
2402,,, ,416004062,15,9.2,119.200813,23.12948,305.4,0,2024-04-17 01:45:25,1733
2466,, ,,416004062,15,9.4,119.1921,23.136468,312.0,30,2024-04-17 01:49:25,1779
2478,,, ,416004062,15,9.4,119.182672,23.144437,314.1,0,2024-04-17 01:53:55,1807
2374,,, ,416004062,15,9.7,119.17739,23.148963,310.7,0,2024-04-17 01:56:26,1708
2341,,, ,416004062,15,9.7,119.169945,23.155465,314.3,0,2024-04-17 01:59:56,1678
2172,, ,,416004062,15,9.5,119.16356,23.160985,311.7,30,2024-04-17 02:02:56,1516
2105,,, ,416004062,15,10.3,119.147788,23.17378,311.9,0,2024-04-17 02:09:56,1488
2408,, ,,416004062,15,10.0,119.129935,23.191018,315.7,30,2024-04-17 02:18:26,1744
2357,, ,,416004062,15,9.7,119.120667,23.199798,315.5,30,2024-04-17 02:22:56,1695
2445,, ,,416004062,15,9.6,119.116477,23.203648,314.6,30,2024-04-17 02:24:56,1766
2337,, ,,416004062,15,10.1,119.08598,23.2369,341.3,30,2024-04-17 02:41:26,1672
2229,, ,,416004062,15,9.8,119.071088,23.281175,345.2,30,2024-04-17 02:57:56,1585
2357,, ,,416004062,15,9.7,119.06195,23.314292,345.9,30,2024-04-17 03:10:26,1706
2311,, ,,416004062,15,9.3,119.055127,23.341827,349.9,30,2024-04-17 03:20:55,1658
2309,, ,,416004062,15,1.6,119.046457,23.392483,349.3,30,2024-04-17 03:49:27,1648
2272,,, ,416004062,15,1.5,119.046063,23.395777,346.4,0,2024-04-17 03:55:25,1632
2303,,, ,416004062,15,2.0,119.045772,23.39792,352.5,0,2024-04-17 03:59:27,1654
2393,, ,,416004062,15,1.2,119.044095,23.407022,357.6,30,2024-04-17 04:17:27,1722
2656,, ,,416004062,15,1.3,119.042597,23.424895,355.7,30,2024-04-17 04:56:26,1970
2560,, ,,416004062,15,1.4,119.042742,23.433065,347.0,30,2024-04-17 05:15:57,1936
2371,,,JENQ HER FA NO2,416004062,15,5.9,121.608642,21.46423,287.0,0,2024-04-17 16:01:27,1622
2364,,,JENQ HER FA NO2,416004062,15,6.0,121.600398,21.466997,287.3,0,2024-04-17 16:06:27,1610
2067,,BK7990,,416004062,15,5.9,121.589573,21.470575,280.1,30,2024-04-17 16:12:57,1382
1959,,BK7990,,416004062,15,6.0,121.579558,21.473938,295.4,30,2024-04-17 16:18:57,1317
1985,,BK7990,,416004062,15,6.2,121.57048,21.4771,300.4,30,2024-04-17 16:24:28,1316
