fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
5758,,,64110+94--87%,4264294,15,10.4,120.775673,26.780783,232.6,0,2024-04-16 05:30:58,4116
6103,,,64110+94--87%,4264294,15,9.7,120.715327,26.77188,253.7,0,2024-04-16 05:54:00,4373
6466,,,64110+94--87%,4264294,15,0.3,120.706197,26.781803,164.3,0,2024-04-16 06:06:37,4660
7779,,,64110+94--87%,4264294,15,0.3,120.70728,26.781498,96.5,0,2024-04-16 06:19:13,5645
7790,,,64110+94--87%,4264294,15,0.2,120.70767,26.78147,80.6,0,2024-04-16 06:23:26,5635
7247,,,64110+94--87%,4264294,15,0.3,120.70877,26.781573,73.0,0,2024-04-16 06:33:57,5200
6555,,,64110+94--87%,4264294,15,0.3,120.709465,26.78163,86.4,0,2024-04-16 06:40:15,4652
6812,,,64110+94--87%,4264294,15,0.2,120.709852,26.781613,81.0,0,2024-04-16 06:44:29,4869
7975,,,64110+94--87%,4264294,15,0.1,120.710223,26.7817,75.8,0,2024-04-16 06:50:49,5770
7459,,,64110+94--87%,4264294,15,0.1,120.710585,26.781772,49.6,0,2024-04-16 07:16:03,5337
7072,,,64110+94--87%,4264294,15,0.0,120.710595,26.781778,212.0,0,2024-04-16 07:24:27,5041
7102,,,64110+94--87%,4264294,15,0.0,120.710557,26.781743,303.9,0,2024-04-16 07:30:45,5075
7927,,,64110+94--87%,4264294,15,0.1,120.710647,26.781743,96.2,0,2024-04-16 07:37:05,5694
6292,,,64110+94--99%,4264294,15,0.2,120.737187,26.823507,5.2,0,2024-04-17 20:07:14,4208
6353,,,64110+94--99%,4264294,15,0.1,120.73813,26.823952,27.8,0,2024-04-17 20:28:17,4231
6388,,,64110+94--99%,4264294,15,0.1,120.738842,26.82441,15.7,0,2024-04-17 20:43:02,4274
6508,,,64110+94--99%,4264294,15,0.2,120.739337,26.824675,54.2,0,2024-04-17 20:51:27,4352
6428,,,64110+94--99%,4264294,15,0.1,120.740505,26.824927,59.4,0,2024-04-17 21:06:12,4331
6399,,,64110+94--99%,4264294,15,0.2,120.740943,26.825078,53.9,0,2024-04-17 21:12:31,4304
6339,,,64110+94--99%,4264294,15,0.2,120.740997,26.825258,74.3,0,2024-04-17 21:16:44,4246
6428,,,64110+94--99%,4264294,15,0.5,120.742322,26.825545,2.4,0,2024-04-17 21:37:50,4295
6344,,,64110+94--99%,4264294,15,0.1,120.743067,26.82553,232.8,0,2024-04-17 22:15:50,4229
6376,,,64110+94--99%,4264294,15,9.8,120.715157,26.810317,275.2,0,2024-04-18 05:07:13,4365
6408,,,64110+94--98%,4264294,15,4.3,120.70368,26.831753,144.3,0,2024-04-18 08:57:03,4204
6401,,,64110+94--98%,4264294,15,9.3,120.709443,26.822595,152.4,0,2024-04-18 09:01:17,4181
6096,,,64110+94--97%,4264294,15,9.5,120.551958,26.65889,224.5,0,2024-04-18 12:44:54,3849
5969,,,64110+94--97%,4264294,15,9.5,120.525005,26.63808,231.4,0,2024-04-18 12:57:32,3738
