fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
2311,,, KUID-XX;;+S5\*7 $),416004590,15,5.3,120.452793,22.252413,130.7,0,2024-04-17 03:54:54,1667
2118,,, KUID-XX;;+S5\*7 $),416004590,15,31.1,121.683465,23.563608,41.6,0,2024-04-18 23:05:55,1368
