fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
6206,,,CT2-5846;1       7V8,11005846,15,0.2,121.869292,24.903475,179.4,0,2024-04-15 21:50:10,4212
6188,,,CT2-5846;1       7V8,11005846,15,0.5,121.86931,24.903507,66.7,0,2024-04-15 21:52:36,4186
6298,,,CT2-5846;1       7V8,11005846,15,0.3,121.869215,24.903573,72.4,0,2024-04-15 21:57:26,4251
6093,,,CT2-5846;1       7V8,11005846,15,0.5,121.868973,24.903782,19.4,0,2024-04-15 21:59:53,4116
6244,,,CT2-5846;1       7V8,11005846,15,0.5,121.869102,24.903718,319.8,0,2024-04-15 22:09:34,4243
6032,,,CT2-5846;1       7V8,11005846,15,0.5,121.869328,24.903902,296.6,0,2024-04-15 22:34:37,4067
5962,,,CT2-5846;1       7V8,11005846,15,0.6,121.869143,24.903728,319.4,0,2024-04-15 22:39:29,4013
6063,,,CT2-5846;1       7V8,11005846,15,0.6,121.86911,24.903705,117.7,0,2024-04-15 22:46:52,4067
6039,,,CT2-5846;1       7V8,11005846,15,0.2,121.869098,24.903708,20.7,0,2024-04-15 22:51:50,4078
5801,,,CT2-5846;1       7V8,11005846,15,0.4,121.869162,24.903783,358.2,0,2024-04-15 22:54:25,3900
6139,,,CT2-5846;1       7V8,11005846,15,0.3,121.868875,24.904137,46.0,0,2024-04-15 22:56:56,4148
6421,,,CT2-5846;1       7V8,11005846,15,0.0,121.868925,24.904002,337.3,0,2024-04-15 23:04:48,4350
5863,,,CT2-5846;1       7V8,11005846,15,1.5,121.869052,24.903695,351.5,0,2024-04-15 23:09:38,3935
6004,,,CT2-5846;1       7V8,11005846,15,1.0,121.86899,24.904027,137.6,0,2024-04-15 23:19:48,4023
6080,,,CT2-5846;1       7V8,11005846,15,0.5,121.869267,24.903863,76.6,0,2024-04-15 23:24:43,4086
5959,,,CT2-5846;1       7V8,11005846,15,0.3,121.869073,24.903727,302.7,0,2024-04-15 23:27:17,4001
5779,,,CT2-5846;1       7V8,11005846,15,0.3,121.869077,24.903653,84.4,0,2024-04-15 23:29:46,3875
5738,,,CT2-5846;1       7V8,11005846,15,0.6,121.869037,24.903798,0.9,0,2024-04-15 23:37:27,3848
5996,,,CT2-5846;1       7V8,11005846,15,0.2,121.868968,24.903787,351.1,0,2024-04-15 23:39:53,4008
5811,,,CT2-5846;1       7V8,11005846,15,0.3,121.869252,24.903373,189.3,0,2024-04-15 23:49:38,3890
6046,,,CT2-5846;1       7V8,11005846,15,0.5,121.86904,24.903912,219.8,0,2024-04-15 23:54:28,4062
6200,,,CT2-5846;1       7V8,11005846,15,0.5,121.868603,24.903782,304.2,0,2024-04-16 00:04:18,4159
6124,,,CT2-5846;1       7V8,11005846,15,0.3,121.868988,24.903818,145.7,0,2024-04-16 00:11:35,4093
5606,,,CT2-5846;1       7V8,11005846,15,0.1,121.868957,24.903653,196.0,0,2024-04-16 00:16:26,3756
5370,,,CT2-5846;1       7V8,11005846,15,0.6,121.869032,24.903717,152.3,0,2024-04-16 00:26:14,3536
5717,,,CT2-5846;1       7V8,11005846,15,0.5,121.868987,24.903692,349.2,0,2024-04-16 00:33:37,3813
5671,,,CT2-5846;1       7V8,11005846,15,0.3,121.869052,24.903633,206.1,0,2024-04-16 00:43:17,3807
5726,,,CT2-5846;1       7V8,11005846,15,0.8,121.869112,24.903615,136.8,0,2024-04-16 00:50:34,3875
5993,,,CT2-5846;1       7V8,11005846,15,0.7,121.869167,24.903602,157.4,0,2024-04-16 00:52:59,4026
5555,,,CT2-5846;1       7V8,11005846,15,0.2,121.869055,24.90366,270.1,0,2024-04-16 00:57:50,3715
5555,,,CT2-5846;1       7V8,11005846,15,0.0,121.869125,24.90359,262.2,0,2024-04-16 01:02:46,3699
5990,,,CT2-5846;1       7V8,11005846,15,0.3,121.869075,24.90358,157.6,0,2024-04-16 01:19:54,4047
5653,,,CT2-5846;1       7V8,11005846,15,0.3,121.869268,24.903542,92.8,0,2024-04-16 01:32:00,3802
5533,,,CT2-5846;1       7V8,11005846,15,0.3,121.869377,24.903508,185.1,0,2024-04-16 01:39:18,3717
5309,,,CT2-5846;1       7V8,11005846,15,0.2,121.869058,24.903642,145.2,0,2024-04-16 02:08:48,3552
5484,,,CT2-5846;1       7V8,11005846,15,0.0,121.869108,24.903622,149.5,0,2024-04-16 02:13:46,3665
5306,,,CT2-5846;1       7V8,11005846,15,0.2,121.869057,24.903723,110.1,0,2024-04-16 02:28:23,3542
5500,,,CT2-5846;1       7V8,11005846,15,0.1,121.868953,24.903665,68.8,0,2024-04-16 02:35:43,3665
5403,,,CT2-5846;1       7V8,11005846,15,0.0,121.868805,24.903887,106.7,0,2024-04-16 02:48:06,3617
5932,,,CT2-5846;1       7V8,11005846,15,0.5,121.869012,24.903682,348.7,0,2024-04-16 02:57:54,3992
5661,,,CT2-5846;1       7V8,11005846,15,0.1,121.868993,24.90367,285.0,0,2024-04-16 03:00:19,3808
5687,,,CT2-5846;1       7V8,11005846,15,0.4,121.868988,24.903708,315.4,0,2024-04-16 03:10:14,3859
