fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
2177,,,GO:MDPE;IUUUW9HK;T,416004416,15,27.1,121.853685,24.685308,225.5,0,2024-04-16 20:49:49,1538
2289,,,GO:MDPE;IUUUW9HK;T,416004416,15,54.8,121.850508,24.686257,304.5,0,2024-04-16 20:53:19,1628
