fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
3190,,,553520 95%,416553520,15,9.0,121.412067,22.087523,356.5,0,2024-04-22 15:07:52,2245
2728,,,553520 95%,416553520,15,9.5,121.409867,22.105183,352.3,0,2024-04-22 15:13:53,1916
2791,,,553520 95%,416553520,15,9.5,121.407527,22.117647,347.1,0,2024-04-22 15:19:53,1935
2794,,,553520 95%,416553520,15,8.7,121.404735,22.132217,350.2,0,2024-04-22 15:23:53,1938
3012,,,553520 94%,416553520,15,6.7,121.37873,23.093308,5.1,0,2024-04-22 21:16:12,2176
2521,,,553520 94%,416553520,15,3.1,121.379977,23.09867,14.9,0,2024-04-22 21:21:13,1815
2208,,,553520 93%,416553520,15,0.3,121.380308,23.099407,0.0,0,2024-04-23 02:06:26,1567
2195,,,553520 93%,416553520,15,1.3,121.38004,23.099122,0.0,0,2024-04-23 02:16:27,1513
3004,,,553520 93%,416553520,15,3.2,121.380035,23.099132,262.2,0,2024-04-23 02:28:27,2134
2633,,,553520 93%,416553520,15,1.4,121.380088,23.099127,0.0,0,2024-04-23 02:32:28,1892
2682,,,553520 93%,416553520,15,1.5,121.380052,23.09914,0.0,0,2024-04-23 02:40:28,1901
2716,,,553520 93%,416553520,15,0.5,121.380152,23.099165,0.0,0,2024-04-23 02:45:28,1944
2868,,,553520 93%,416553520,15,1.0,121.380068,23.099155,0.0,0,2024-04-23 02:47:28,2085
2911,,,553520 93%,416553520,15,1.0,121.380133,23.099228,0.0,0,2024-04-23 02:56:29,2106
2913,,,553520 93%,416553520,15,1.1,121.379998,23.099118,0.0,0,2024-04-23 03:03:29,2098
2833,,,553520 93%,416553520,15,1.3,121.38011,23.099183,0.0,0,2024-04-23 03:08:29,2029
2458,,,553520 93%,416553520,15,0.8,121.380032,23.099157,0.0,0,2024-04-23 03:13:30,1762
2616,,,553520 93%,416553520,15,1.3,121.380175,23.099228,0.0,0,2024-04-23 03:16:30,1879
2849,,,553520 93%,416553520,15,3.4,121.380053,23.099207,49.6,0,2024-04-23 03:23:30,2078
2571,,,553520 93%,416553520,15,0.7,121.380105,23.099168,0.0,0,2024-04-23 03:30:30,1849
2908,,,553520 93%,416553520,15,1.6,121.380027,23.099267,0.0,0,2024-04-23 03:41:31,2098
2853,,,553520 93%,416553520,15,2.7,121.38,23.099338,44.1,0,2024-04-23 03:53:31,2066
2537,,,553520 93%,416553520,15,1.8,121.380305,23.099275,0.0,0,2024-04-23 04:06:32,1850
2455,,,553520 93%,416553520,15,0.6,121.380188,23.099137,0.0,0,2024-04-23 04:15:33,1789
2581,,,553520 93%,416553520,15,1.0,121.380208,23.099167,0.0,0,2024-04-23 04:24:33,1873
2743,,,553520 93%,416553520,15,0.3,121.380488,23.099312,0.0,0,2024-04-23 04:34:33,2011
3040,,,553520 92%,416553520,15,1.1,121.38009,23.099,0.0,0,2024-04-23 04:40:34,2259
2985,,,553520 92%,416553520,15,3.4,121.380375,23.099078,267.1,0,2024-04-23 04:46:34,2217
2382,,,553520 92%,416553520,15,1.0,121.380197,23.098948,0.0,0,2024-04-23 06:41:40,1711
2609,,,553520 92%,416553520,15,1.0,121.380348,23.099053,0.0,0,2024-04-23 06:43:40,1885
2378,,,553520 92%,416553520,15,3.7,121.380222,23.098967,357.5,0,2024-04-23 07:00:39,1712
2397,,,553520 96%,416553520,15,2.6,121.400057,22.11696,2.1,0,2024-04-28 16:38:19,1585
2364,,,553520 96%,416553520,15,2.6,121.400057,22.11696,2.1,0,2024-04-28 16:38:19,1556
2189,,,553520 96%,416553520,15,2.6,121.400057,22.11696,2.1,0,2024-04-28 16:38:19,1455
