fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
6562,,,M=N^TI;OMO1N=19   ,313488043,15,4.5,119.692962,24.768448,34.1,0,2024-04-15 21:40:21,4508
6270,,,M=N^TI;OMO1N=19   ,313488043,15,4.5,119.704478,24.783387,29.7,0,2024-04-15 21:54:21,4249
6439,,,M=N^TI;OMO1N=19   ,313488043,15,3.9,119.71703,24.797423,63.5,0,2024-04-15 22:14:20,4386
6684,,,M=N^TI;OMO1N=19   ,313488043,15,3.1,119.719632,24.798612,65.9,0,2024-04-15 22:17:20,4590
6560,,,M=N^TI;OMO1N=19   ,313488043,15,2.0,119.722557,24.800465,48.9,0,2024-04-15 22:20:50,4468
6193,,,M=N^TI;OMO1N=19   ,313488043,15,0.4,119.712528,24.79618,262.5,0,2024-04-15 22:34:20,4182
6108,,,M=N^TI;OMO1N=19   ,313488043,15,2.9,119.707025,24.789005,204.5,0,2024-04-15 22:46:20,4102
6117,,,M=N^TI;OMO1N=19   ,313488043,15,2.8,119.70128,24.77742,204.3,0,2024-04-15 23:02:21,4134
6099,,,M=N^TI;OMO1N=19   ,313488043,15,2.7,119.692792,24.760095,204.0,0,2024-04-15 23:26:52,4090
6398,,,M=N^TI;OMO1N=19   ,313488043,15,2.6,119.687488,24.748828,206.9,0,2024-04-15 23:42:52,4293
6217,,,M=N^TI;OMO1N=19   ,313488043,15,2.9,119.679867,24.732395,205.8,0,2024-04-16 00:05:51,4159
6117,,,M=N^TI;OMO1N=19   ,313488043,15,3.0,119.674202,24.720383,203.3,0,2024-04-16 00:21:51,4070
5870,,,M=N^TI;OMO1N=19   ,313488043,15,3.4,119.671013,24.717013,271.4,0,2024-04-16 00:27:51,3872
5688,,,M=N^TI;OMO1N=19   ,313488043,15,4.2,119.66825,24.718242,317.4,0,2024-04-16 00:30:21,3792
5240,,,M=N^TI;OMO1N=19   ,313488043,15,4.4,119.726925,24.849358,11.6,0,2024-04-16 02:30:46,3499
5598,,,M=N^TI;OMO1N=19   ,313488043,15,0.6,119.729915,24.855188,75.6,0,2024-04-16 02:39:46,3725
5592,,,M=N^TI;OMO1N=19   ,313488043,15,1.6,119.730983,24.855393,65.7,0,2024-04-16 02:42:46,3730
5315,,,M=N^TI;OMO1N=19   ,313488043,15,3.4,119.717893,24.82274,197.4,0,2024-04-16 03:31:16,3597
5272,,,M=N^TI;OMO1N=19   ,313488043,15,3.5,119.671403,24.729837,203.5,0,2024-04-16 05:09:49,3704
5345,,,M=N^TI;OMO1N=19   ,313488043,15,3.7,119.66984,24.726377,199.7,0,2024-04-16 05:13:18,3788
5285,,,M=N^TI;OMO1N=19   ,313488043,15,4.0,119.66766,24.721395,202.1,0,2024-04-16 05:18:19,3725
5442,,,M=N^TI;OMO1N=19   ,313488043,15,4.0,119.663603,24.716742,260.2,0,2024-04-16 05:24:18,3864
5498,,,M=N^TI;OMO1N=19   ,313488043,15,4.8,119.66108,24.717312,304.0,0,2024-04-16 05:26:18,3917
5441,,,M=N^TI;OMO1N=19   ,313488043,15,4.2,119.658478,24.723492,357.6,0,2024-04-16 05:31:48,3856
5179,,,M=N^TI;OMO1N=19   ,313488043,15,3.9,119.660023,24.727207,27.7,0,2024-04-16 05:35:18,3661
5840,,,M=N^TI;OMO1N=19   ,313488043,15,4.3,119.664902,24.7329,41.4,0,2024-04-16 05:41:18,4165
5316,,,M=N^TI;OMO1N=19   ,313488043,15,1.3,119.666267,24.734192,30.0,0,2024-04-16 05:42:48,3791
7613,,,M=N^TI;OMO1N=19   ,313488043,15,1.4,119.668318,24.726718,193.7,0,2024-04-16 08:50:19,5420
6911,,,M=N^TI;OMO1N=19   ,313488043,15,3.8,119.667583,24.722663,188.3,0,2024-04-16 08:54:19,4872
6830,,,M=N^TI;OMO1N=19   ,313488043,15,3.6,119.666873,24.717987,181.6,0,2024-04-16 08:58:49,4820
6688,,,M=N^TI;OMO1N=19   ,313488043,15,4.1,119.663002,24.712968,274.8,0,2024-04-16 09:05:49,4724
7364,,,M=N^TI;OMO1N=19   ,313488043,15,4.8,119.66641,24.724662,28.4,0,2024-04-16 14:19:24,5007
7154,,,M=N^TI;OMO1N=19   ,313488043,15,4.7,119.670625,24.730393,40.2,0,2024-04-16 14:24:54,4890
7531,,,M=N^TI;OMO1N=19   ,313488043,15,4.3,119.676002,24.735368,51.4,0,2024-04-16 14:30:25,5174
7165,,,M=N^TI;OMO1N=19   ,313488043,15,4.4,119.68059,24.73909,48.8,0,2024-04-16 14:34:55,4900
6943,,,M=N^TI;OMO1N=19   ,313488043,15,4.5,119.683085,24.741178,47.4,0,2024-04-16 14:37:25,4734
6866,,,M=N^TI;OMO1N=19   ,313488043,15,4.5,119.69045,24.747418,48.6,0,2024-04-16 14:44:54,4658
7031,,,M=N^TI;OMO1N=19   ,313488043,15,4.4,119.696425,24.75249,43.6,0,2024-04-16 14:50:54,4780
6683,,,M=N^TI;OMO1N=19   ,313488043,15,4.2,119.697958,24.786683,252.6,0,2024-04-16 16:18:54,4498
6433,,,M=N^TI;OMO1N=19   ,313488043,15,3.5,119.694172,24.785752,256.7,0,2024-04-16 16:22:24,4319
6534,,,M=N^TI;OMO1N=19   ,313488043,15,3.8,119.690362,24.784845,252.1,0,2024-04-16 16:25:54,4404
6440,,,M=N^TI;OMO1N=19   ,313488043,15,3.4,119.685993,24.783832,254.8,0,2024-04-16 16:29:55,4353
6115,,,M=N^TI;OMO1N=19   ,313488043,15,3.7,119.681638,24.782848,259.2,0,2024-04-16 16:33:54,4147
6126,,,M=N^TI;OMO1N=19   ,313488043,15,3.4,119.67616,24.781643,255.7,0,2024-04-16 16:38:54,4096
6192,,,M=N^TI;OMO1N=19   ,313488043,15,3.8,119.671837,24.780653,251.0,0,2024-04-16 16:42:54,4153
6123,,,M=N^TI;OMO1N=19   ,313488043,15,3.6,119.666442,24.77931,260.3,0,2024-04-16 16:47:55,4130
6414,,,M=N^TI;OMO1N=19   ,313488043,15,3.6,119.66267,24.778428,261.2,0,2024-04-16 16:51:25,4353
6346,,,M=N^TI;OMO1N=19   ,313488043,15,3.7,119.658398,24.777458,258.9,0,2024-04-16 16:55:24,4326
6561,,,M=N^TI;OMO1N=19   ,313488043,15,3.7,119.65411,24.776402,255.9,0,2024-04-16 16:59:25,4470
6383,,,M=N^TI;OMO1N=19   ,313488043,15,3.6,119.652998,24.776137,252.2,0,2024-04-16 17:00:25,4378
6468,,,M=N^TI;OMO1N=19   ,313488043,15,3.4,119.615235,24.76731,256.8,0,2024-04-16 17:35:26,4428
6218,,,M=N^TI;OMO1N=19   ,313488043,15,3.6,119.60491,24.765053,257.2,0,2024-04-16 17:44:57,4269
6249,,,M=N^TI;OMO1N=19   ,313488043,15,3.4,119.600565,24.76412,256.9,0,2024-04-16 17:48:57,4290
6318,,,M=N^TI;OMO1N=19   ,313488043,15,3.6,119.59739,24.763318,256.5,0,2024-04-16 17:51:57,4367
6322,,,M=N^TI;OMO1N=19   ,313488043,15,3.8,119.580062,24.7594,253.4,0,2024-04-16 18:08:26,4326
6335,,,M=N^TI;OMO1N=19   ,313488043,15,3.7,119.57695,24.758712,250.0,0,2024-04-16 18:11:26,4349
6609,,,M=N^TI;OMO1N=19   ,313488043,15,3.3,119.571813,24.757543,255.7,0,2024-04-16 18:16:26,4579
6110,,,M=N^TI;OMO1N=19   ,313488043,15,3.4,119.554498,24.753437,250.3,0,2024-04-16 18:33:26,4237
6516,,,M=N^TI;OMO1N=19   ,313488043,15,3.4,119.549903,24.752077,250.3,0,2024-04-16 18:37:57,4510
6275,,,M=N^TI;OMO1N=19   ,313488043,15,3.5,119.545783,24.751007,254.2,0,2024-04-16 18:41:57,4352
6615,,,M=N^TI;OMO1N=19   ,313488043,15,3.4,119.533942,24.748158,253.6,0,2024-04-16 18:53:56,4611
