fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
5757,,,68895---88-76%,202309004,15,0.2,118.157948,24.431895,200.8,0,2024-04-16 18:45:26,4001
5981,,,68895---88-76%,202309004,15,0.3,118.157833,24.431612,193.6,0,2024-04-16 18:49:24,4131
5980,,,68895---88-76%,202309004,15,0.0,118.15773,24.431528,262.6,0,2024-04-16 18:53:21,4159
5965,,,68895---88-76%,202309004,15,0.1,118.157672,24.431268,217.3,0,2024-04-16 18:57:18,4153
5724,,,68895---88-76%,202309004,15,0.2,118.157585,24.431012,182.7,0,2024-04-16 19:01:15,3954
5806,,,68895---88-76%,202309004,15,0.1,118.157467,24.430753,216.2,0,2024-04-16 19:05:13,3994
5829,,,68895---88-76%,202309004,15,0.2,118.157392,24.430617,195.8,0,2024-04-16 19:09:12,4013
5899,,,68895---88-76%,202309004,15,0.1,118.15728,24.430432,218.4,0,2024-04-16 19:13:10,4075
6248,,,68895---88-76%,202309004,15,0.3,118.157213,24.430213,184.5,0,2024-04-16 19:17:09,4293
6195,,,68895---88-76%,202309004,15,0.0,118.157195,24.429967,205.4,0,2024-04-16 19:21:04,4288
5752,,,68895---88-75%,202309004,15,0.2,118.157173,24.429505,184.1,0,2024-04-16 19:26:59,3975
6004,,,68895---88-76%,202309004,15,0.2,118.15714,24.429232,186.7,0,2024-04-16 19:30:57,4197
5931,,,68895---88-76%,202309004,15,0.2,118.157117,24.428928,192.1,0,2024-04-16 19:34:55,4154
6320,,,68895---88-76%,202309004,15,0.3,118.157245,24.428738,170.3,0,2024-04-16 19:38:52,4442
6138,,,68895---88-76%,202309004,15,0.4,118.157202,24.428428,185.5,0,2024-04-16 19:42:53,4281
5864,,,68895---88-76%,202309004,15,0.2,118.157345,24.428143,152.6,0,2024-04-16 19:46:48,4090
6242,,,68895---88-75%,202309004,15,0.1,118.157225,24.428017,240.7,0,2024-04-16 19:50:49,4348
6028,,,68895---88-75%,202309004,15,0.0,118.157225,24.427965,137.6,0,2024-04-16 19:54:49,4224
5793,,,68895---88-76%,202309004,15,0.0,118.157237,24.427958,107.0,0,2024-04-16 19:58:48,4062
6069,,,68895---88-75%,202309004,15,0.0,118.157122,24.427972,90.0,0,2024-04-16 20:02:46,4228
6020,,,68895---88-75%,202309004,15,0.0,118.15712,24.427975,50.5,0,2024-04-16 20:06:46,4210
6021,,,68895---88-75%,202309004,15,0.0,118.157123,24.42798,48.6,0,2024-04-16 20:10:44,4192
6067,,,68895---88-76%,202309004,15,0.0,118.157137,24.427978,97.8,0,2024-04-16 20:12:44,4232
5830,,,68895---88-75%,202309004,15,0.0,118.157148,24.42798,3.2,0,2024-04-16 20:22:43,4027
5838,,,68895---88-76%,202309004,15,0.0,118.157148,24.42798,66.2,0,2024-04-16 20:28:42,4047
6059,,,68895---88-76%,202309004,15,0.0,118.157143,24.42797,204.4,0,2024-04-16 20:30:41,4205
5480,,,68895---88-76%,202309004,15,3.8,118.148855,24.423933,188.3,0,2024-04-16 20:40:39,3772
5876,,,68895---88-76%,202309004,15,0.3,118.149178,24.423677,128.9,0,2024-04-16 20:44:37,4051
