fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
6475,,1234567.0,,600925916,15,18.2,119.67756,26.250413,145.8,30,2024-04-16 13:49:41,4388
6350,,,1.0,600925916,15,18.0,119.691363,26.229618,160.4,0,2024-04-16 13:54:34,4291
5640,,,1.0,600925916,15,19.8,119.695068,26.218168,164.0,30,2024-04-16 13:56:55,3758
5376,,,1.0,600925916,15,17.8,119.702422,26.185945,179.5,30,2024-04-16 14:03:01,3557
6080,,,1.0,600925916,15,20.2,119.704103,26.163637,169.8,30,2024-04-16 14:07:02,4071
6692,,1234567.0,,600925916,15,20.3,119.704743,26.157232,171.3,30,2024-04-16 14:08:07,4524
6896,,,1.0,600925916,15,20.5,119.707925,26.112035,172.0,30,2024-04-16 14:15:54,4695
6735,,1234567.0,,600925916,15,3.8,119.710312,26.090772,173.3,30,2024-04-16 14:19:54,4556
6892,,1234567.0,,600925916,15,0.2,119.710433,26.090565,192.1,30,2024-04-16 14:20:21,4679
6198,,1234567.0,,600925916,15,1.9,119.826152,26.081252,106.0,30,2024-04-23 08:11:02,4310
