fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
1323,,5068.0,,800000030,15,6.7,119.241652,24.961157,45.4,30,2024-04-16 05:05:58,933
1336,,5068.0,,800000030,15,7.0,119.252075,24.962862,67.2,30,2024-04-16 05:11:32,943
1435,,,5068.0,800000030,15,7.3,119.259348,24.964487,73.0,0,2024-04-16 05:15:00,1016
1432,,,5068.0,800000030,15,6.5,119.279148,24.96645,81.9,0,2024-04-16 05:24:30,1024
1327,,,5068.0,800000030,15,7.3,119.283313,24.96571,123.9,0,2024-04-16 05:26:29,937
1969,,5068.0,,800000030,15,7.5,119.29366,24.965428,110.5,30,2024-04-16 05:31:34,1416
1268,,5068.0,,800000030,15,7.4,119.299683,24.96262,119.7,30,2024-04-16 05:34:35,907
1538,,5068.0,,800000030,15,6.8,119.31307,24.965797,52.5,30,2024-04-16 05:41:33,1090
1482,,5068.0,,800000030,15,6.7,119.318413,24.96866,54.7,30,2024-04-16 05:44:32,1069
1341,,,5068.0,800000030,15,6.7,119.32723,24.972905,92.9,0,2024-04-16 05:49:31,968
1392,,,5068.0,800000030,15,7.3,119.333705,24.97201,77.5,0,2024-04-16 05:52:30,1013
1659,,5068.0,,800000030,15,7.1,119.343077,24.975977,77.1,30,2024-04-16 05:57:37,1193
1543,,5068.0,,800000030,15,6.8,119.351163,24.977575,50.2,30,2024-04-16 06:01:33,1100
1440,,5068.0,,800000030,15,7.5,119.355228,24.97854,90.2,30,2024-04-16 06:03:32,1023
1791,,5068.0,,800000030,15,7.9,119.365595,24.975628,153.7,30,2024-04-16 06:09:31,1300
2288,,5068.0,,800000030,15,8.1,119.36881,24.968498,154.0,30,2024-04-16 06:12:59,1689
2311,,5068.0,,800000030,15,8.1,119.373495,24.958393,150.0,30,2024-04-16 06:17:58,1714
2661,,5068.0,,800000030,15,8.5,119.375413,24.952233,164.2,30,2024-04-16 06:20:58,1985
2543,,,5068.0,800000030,15,7.6,119.379217,24.9444,110.8,0,2024-04-16 06:24:58,1901
2319,,,5068.0,800000030,15,6.0,119.383795,24.94673,10.2,0,2024-04-16 06:29:59,1739
2361,,5068.0,,800000030,15,1.2,119.38382,24.94847,257.7,30,2024-04-16 06:31:59,1744
2088,,,5068.0,800000030,15,1.1,119.38291,24.94647,188.4,0,2024-04-16 06:40:59,1506
2102,,5068.0,,800000030,15,0.0,119.382732,24.945693,205.5,30,2024-04-16 06:43:59,1528
2012,,5068.0,,800000030,15,1.6,119.382372,24.944125,210.3,30,2024-04-16 06:49:59,1474
2675,,5068.0,,800000030,15,0.0,119.382237,24.943373,177.7,30,2024-04-16 06:52:59,1996
2147,,5068.0,,800000030,15,1.0,119.382012,24.941857,186.1,30,2024-04-16 06:58:58,1585
2366,,5068.0,,800000030,15,1.4,119.38192,24.94107,180.2,30,2024-04-16 07:01:58,1752
2653,,5068.0,,800000030,15,0.9,119.38191,24.94024,173.9,30,2024-04-16 07:04:58,1956
2145,,5068.0,,800000030,15,0.0,119.381937,24.937683,175.7,30,2024-04-16 07:13:58,1571
2244,,5068.0,,800000030,15,0.0,119.381948,24.936788,185.4,30,2024-04-16 07:16:58,1625
2252,,,5068.0,800000030,15,0.0,119.3818,24.93571,188.9,0,2024-04-16 07:20:51,1640
2014,,5068.0,,800000030,15,0.0,119.381742,24.934835,193.1,30,2024-04-16 07:23:51,1465
2085,,5068.0,,800000030,15,0.0,119.38164,24.933138,179.6,30,2024-04-16 07:29:52,1516
2318,,5068.0,,800000030,15,4.5,119.383457,24.933713,41.2,30,2024-04-16 07:35:52,1735
