fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
638,,BCN8605,,412433217,15,2.3,120.585253,27.014772,171.6,30,2024-04-17 11:27:33,488
732,,BCN8605,,412433217,15,1.5,120.585568,27.013997,154.4,30,2024-04-17 11:29:03,581
1078,,BCN8605,,412433217,15,1.5,120.587358,27.00988,153.8,30,2024-04-17 11:36:33,836
800,,,ZHECANGYU08605      ,412433217,15,2.6,120.594313,26.993868,173.4,0,2024-04-17 12:03:43,634
692,,,ZHECANGYU08605      ,412433217,15,0.9,120.594628,26.99219,167.0,0,2024-04-17 12:08:14,531
815,,,ZHECANGYU08605      ,412433217,15,9.2,120.598302,26.97778,145.2,0,2024-04-17 12:18:44,621
1147,,0000000,,412433217,15,3.6,120.596987,26.97299,217.1,30,2024-04-17 12:52:45,901
1154,,0000000,,412433217,15,1.2,120.596915,26.970128,161.3,30,2024-04-17 12:56:35,912
848,,0000000,,412433217,15,8.2,120.595577,26.967392,222.6,30,2024-04-17 13:02:15,643
967,,0000000,,412433217,15,9.0,120.594747,26.959362,157.9,30,2024-04-17 13:05:35,740
482,,0000000,,412433217,15,5.9,120.599473,26.950735,161.9,30,2024-04-17 13:09:35,334
547,,0000000,,412433217,15,3.7,120.601075,26.94802,154.7,30,2024-04-17 13:12:35,379
873,,0000000,,412433217,15,6.3,120.602415,26.947653,49.7,30,2024-04-17 13:23:16,671
1146,,0000000,,412433217,15,2.0,120.611988,26.931023,194.5,30,2024-04-17 13:57:48,885
1031,,0000000,,412433217,15,8.3,120.63224,26.899168,139.3,30,2024-04-17 14:48:22,804
775,,,ZHECANGYU08605      ,412433217,15,8.4,120.640012,26.889735,147.7,0,2024-04-17 14:53:22,593
1100,,0000000,,412433217,15,8.8,120.642563,26.880775,188.1,30,2024-04-17 14:57:22,823
811,,0000000,,412433217,15,6.4,120.63419,26.873172,239.3,30,2024-04-17 15:01:52,601
1004,,,ZHECANGYU08605      ,412433217,15,4.8,120.63086,26.86965,234.2,0,2024-04-17 15:05:52,756
838,,BCN8605,,412433217,15,1.0,120.630073,26.869227,278.0,30,2024-04-17 15:06:52,637
717,,0000000,,412433217,15,8.3,120.635875,26.863227,121.8,30,2024-04-17 15:12:22,524
1409,,0000000,,412433217,15,8.4,120.646588,26.854403,137.5,30,2024-04-17 15:17:51,940
832,,0000000,,412433217,15,9.0,120.650067,26.85067,148.1,30,2024-04-17 15:19:51,655
822,,0000000,,412433217,15,2.0,120.654155,26.843292,195.7,30,2024-04-17 15:25:22,624
1007,,,ZHECANGYU08605      ,412433217,15,0.6,120.65397,26.842983,228.8,0,2024-04-17 15:26:22,766
1530,,,ZHECANGYU08605      ,412433217,15,0.5,120.653058,26.841635,163.1,0,2024-04-17 15:33:03,1012
696,,,ZHECANGYU08605      ,412433217,15,8.4,120.649002,26.848277,322.9,0,2024-04-17 15:38:53,508
773,,0000000,,412433217,15,8.7,120.642125,26.855487,327.9,30,2024-04-17 15:42:53,576
761,,0000000,,412433217,15,8.3,120.637128,26.861393,315.0,30,2024-04-17 15:46:04,565
679,,BCN8605,,412433217,15,9.2,120.631463,26.865968,311.2,30,2024-04-17 15:48:54,492
789,,BCN8605,,412433217,15,8.6,120.625193,26.868565,277.5,30,2024-04-17 15:51:34,586
485,,BCN8605,,412433217,15,2.8,120.604022,26.87188,208.5,30,2024-04-17 16:02:24,325
1540,,,ZHECANGYU08605      ,412433217,15,1.1,120.603347,26.870537,202.7,0,2024-04-17 16:04:24,1051
936,,,ZHECANGYU08605      ,412433217,15,5.2,120.602537,26.867222,159.4,0,2024-04-17 16:17:24,698
729,,,ZHECANGYU08605      ,412433217,15,7.3,120.617273,26.853747,150.0,0,2024-04-17 16:29:24,543
1114,,,ZHECANGYU08605      ,412433217,15,7.2,120.626432,26.844335,143.2,0,2024-04-17 16:35:33,809
749,,BCN8605,,412433217,15,7.3,120.631628,26.837308,152.8,30,2024-04-17 16:39:55,559
815,,0000000,,412433217,15,7.6,120.636185,26.831275,151.7,30,2024-04-17 16:43:25,632
902,,,ZHECANGYU08605      ,412433217,15,7.3,120.641553,26.823458,152.7,0,2024-04-17 16:47:55,683
1061,,BCN8605,,412433217,15,7.3,120.644953,26.816922,157.3,30,2024-04-17 16:51:32,765
812,,,ZHECANGYU08605      ,412433217,15,7.0,120.647557,26.806645,180.6,0,2024-04-17 16:56:55,601
778,,,ZHECANGYU08605      ,412433217,15,7.2,120.645622,26.799628,212.6,0,2024-04-17 17:00:26,572
721,,,ZHECANGYU08605      ,412433217,15,1.1,120.642502,26.796605,238.0,0,2024-04-17 17:04:32,530
1112,,BCN8605,,412433217,15,0.8,120.641667,26.7957,213.7,30,2024-04-17 17:08:32,766
882,,0000000,,412433217,15,0.5,120.641392,26.795255,55.1,30,2024-04-17 17:10:27,655
746,,,ZHECANGYU08605      ,412433217,15,9.0,120.62953,26.792258,236.9,0,2024-04-17 17:16:57,552
866,,,ZHECANGYU08605      ,412433217,15,8.9,120.6214,26.787277,233.7,0,2024-04-17 17:20:28,643
760,,BCN8605,,412433217,15,9.0,120.610703,26.781057,238.1,30,2024-04-17 17:24:58,574
743,,BCN8605,,412433217,15,9.4,120.60101,26.77549,233.2,30,2024-04-17 17:28:58,550
939,,BCN8605,,412433217,15,9.1,120.595027,26.771975,229.2,30,2024-04-17 17:31:28,698
1469,,BCN8605,,412433217,15,8.8,120.584573,26.765942,236.4,30,2024-04-17 17:35:57,986
753,,BCN8605,,412433217,15,8.9,120.57285,26.756747,226.9,30,2024-04-17 17:41:28,571
1066,,BCN8605,,412433217,15,8.8,120.565985,26.75228,246.9,30,2024-04-17 17:44:31,775
896,,BCN8605,,412433217,15,5.4,120.555913,26.746995,264.4,30,2024-04-17 17:48:59,685
543,,0000000,,412433217,15,1.3,120.552038,26.746225,254.5,30,2024-04-17 17:53:30,381
788,,0000000,,412433217,15,1.3,120.55056,26.745325,237.4,30,2024-04-17 17:59:30,601
1124,,0000000,,412433217,15,8.5,120.559043,26.75283,44.2,30,2024-04-17 18:05:30,811
1027,,0000000,,412433217,15,8.7,120.570567,26.769178,27.3,30,2024-04-17 18:13:29,777
1359,,0000000,,412433217,15,5.0,120.622423,26.848183,192.0,30,2024-04-17 19:04:31,971
