fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
4108,,,"55""1+A_M$VVYFX""+$5*;",666863274,15,3.1,122.225425,24.923927,354.5,0,2024-04-26 17:20:03,2705
3891,,,"55""1+A_M$VVYFX""+$5*;",666863274,15,3.1,122.225425,24.923927,354.5,0,2024-04-26 17:20:03,2597
4178,,,"55""1+A_M$VVYFX""+$5*;",666863274,15,3.1,122.225425,24.923927,354.5,0,2024-04-26 17:20:03,2772
