fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
2548,,,"-3"")`C5HS^T0BW&[$;%;",666666668,15,5.5,121.908408,24.608052,56.6,0,2024-04-26 12:41:27,1698
2686,,,"-3"")`C5HS^T0BW&[$;%;",666666668,15,5.5,121.908408,24.608052,56.6,0,2024-04-26 12:41:27,1797
2441,,,"-3"")`C5HS^T0BW&[$;%;",666666668,15,5.5,121.908408,24.608052,56.6,0,2024-04-26 12:41:27,1605
