fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
5058,,,ZHELINYU21366-01_8.2,209136601,15,7.6,120.48732,26.450135,79.7,0,2024-04-16 05:09:16,3544
5195,,,ZHELINYU21366-01_8.2,209136601,15,0.8,120.499853,26.48822,358.1,0,2024-04-16 05:31:29,3674
4642,,,ZHELINYU21366-01_8.2,209136601,15,1.6,120.499733,26.487585,358.1,0,2024-04-16 05:34:26,3289
4946,,,ZHELINYU21366-01_8.2,209136601,15,1.3,120.499587,26.48665,358.1,0,2024-04-16 05:39:21,3511
5007,,,ZHELINYU21366-01_8.2,209136601,15,1.9,120.50016,26.486275,358.1,0,2024-04-16 05:44:17,3555
5175,,,ZHELINYU21366-01_8.2,209136601,15,0.8,120.50032,26.486145,358.1,0,2024-04-16 05:45:17,3692
5386,,,ZHELINYU21366-01_8.2,209136601,15,0.2,120.50128,26.486052,145.2,0,2024-04-16 05:52:12,3833
5013,,,ZHELINYU21366-01_8.2,209136601,15,0.4,120.50192,26.486015,145.2,0,2024-04-16 05:57:06,3565
5212,,,ZHELINYU21366-01_8.2,209136601,15,0.5,120.502387,26.48599,100.8,0,2024-04-16 06:01:03,3697
5131,,,ZHELINYU21366-01_8.2,209136601,15,0.6,120.50264,26.48595,100.8,0,2024-04-16 06:03:01,3622
5818,,,ZHELINYU21366-01_8.2,209136601,15,1.3,120.503467,26.485998,88.5,0,2024-04-16 06:09:55,4139
6075,,,ZHELINYU21366-01_8.2,209136601,15,0.5,120.504053,26.485893,88.5,0,2024-04-16 06:13:51,4336
6955,,,ZHELINYU21366-01_8.2,209136601,15,0.5,120.50456,26.485937,88.5,0,2024-04-16 06:17:47,5002
6617,,,ZHELINYU21366-01_8.2,209136601,15,0.1,120.504893,26.485982,88.5,0,2024-04-16 06:20:44,4761
6836,,,ZHELINYU21366-01_8.2,209136601,15,0.4,120.505453,26.486007,125.1,0,2024-04-16 06:24:42,4899
6450,,,ZHELINYU21366-01_8.2,209136601,15,0.2,120.506,26.486035,160.6,0,2024-04-16 06:28:39,4649
6409,,,ZHELINYU21366-01_8.2,209136601,15,1.0,120.50648,26.486035,160.6,0,2024-04-16 06:31:37,4562
6288,,,ZHELINYU21366-01_8.2,209136601,15,0.6,120.507147,26.486068,160.6,0,2024-04-16 06:36:32,4467
5814,,,ZHELINYU21366-01_8.2,209136601,15,0.6,120.507653,26.486117,160.6,0,2024-04-16 06:40:29,4082
5963,,,ZHELINYU21366-01_8.2,209136601,15,1.0,120.508053,26.486162,160.6,0,2024-04-16 06:43:26,4222
6519,,,ZHELINYU21366-01_8.2,209136601,15,1.1,120.50872,26.48623,160.6,0,2024-04-16 06:48:21,4630
6787,,,ZHELINYU21366-01_8.2,209136601,15,1.3,120.50968,26.486283,83.3,0,2024-04-16 06:54:16,4864
6507,,,ZHELINYU21366-01_8.2,209136601,15,0.9,120.51016,26.486382,83.3,0,2024-04-16 06:58:11,4662
6530,,,ZHELINYU21366-01_8.2,209136601,15,1.5,120.51072,26.486495,83.3,0,2024-04-16 07:02:07,4643
6584,,,ZHELINYU21366-01_8.2,209136601,15,0.5,120.511307,26.486588,35.0,0,2024-04-16 07:06:31,4672
6232,,,ZHELINYU21366-01_8.2,209136601,15,1.3,120.511827,26.486667,35.0,0,2024-04-16 07:10:28,4414
6128,,,ZHELINYU21366-01_8.2,209136601,15,1.4,120.512413,26.486828,35.0,0,2024-04-16 07:14:24,4361
6372,,,ZHELINYU21366-01_8.2,209136601,15,0.8,120.51312,26.487,35.0,0,2024-04-16 07:19:20,4520
6637,,,ZHELINYU21366-01_8.2,209136601,15,1.0,120.513373,26.487093,35.0,0,2024-04-16 07:21:18,4703
6153,,,ZHELINYU21366-01_8.2,209136601,15,0.7,120.513893,26.487212,35.0,0,2024-04-16 07:25:14,4333
6053,,,ZHELINYU21366-01_8.2,209136601,15,0.1,120.51468,26.487418,35.0,0,2024-04-16 07:31:09,4294
6715,,,ZHELINYU21366-01_8.2,209136601,15,0.6,120.51524,26.487577,35.0,0,2024-04-16 07:35:05,4770
6859,,,ZHELINYU21366-01_8.2,209136601,15,0.5,120.515653,26.4877,35.0,0,2024-04-16 07:38:02,4892
6875,,,ZHELINYU21366-01_8.2,209136601,15,0.2,120.516253,26.487927,35.0,0,2024-04-16 07:42:57,4864
6749,,,ZHELINYU21366-01_8.2,209136601,15,1.3,120.516587,26.488033,35.0,0,2024-04-16 07:45:54,4724
6306,,,ZHELINYU21366-01_8.2,209136601,15,0.9,120.517267,26.488253,35.0,0,2024-04-16 07:51:48,4425
6592,,,ZHELINYU21366-01_8.2,209136601,15,1.2,120.517773,26.488488,78.6,0,2024-04-16 07:55:45,4661
6385,,,ZHELINYU21366-01_8.2,209136601,15,2.7,120.51804,26.488618,78.6,0,2024-04-16 07:57:43,4526
6372,,,ZHELINYU21366-01_8.2,209136601,15,0.7,120.51872,26.488932,53.8,0,2024-04-16 08:03:39,4486
6147,,,ZHELINYU21366-01_8.2,209136601,15,0.2,120.519053,26.489095,29.6,0,2024-04-16 08:06:38,4297
6207,,,ZHELINYU21366-01_8.2,209136601,15,0.8,120.51976,26.4894,182.3,0,2024-04-16 08:12:38,4341
6293,,,ZHELINYU21366-01_8.2,209136601,15,0.6,120.52016,26.489608,213.9,0,2024-04-16 08:16:38,4418
6384,,,ZHELINYU21366-01_8.2,209136601,15,0.8,120.5206,26.489758,213.9,0,2024-04-16 08:20:38,4506
6779,,,ZHELINYU21366-01_8.2,209136601,15,0.2,120.520973,26.489922,38.8,0,2024-04-16 08:23:38,4790
7004,,,ZHELINYU21366-01_8.2,209136601,15,0.8,120.521613,26.490315,32.6,0,2024-04-16 08:29:38,4943
6724,,,ZHELINYU21366-01_8.2,209136601,15,1.1,120.521893,26.49043,76.7,0,2024-04-16 08:32:42,4754
7188,,,ZHELINYU21366-01_8.2,209136601,15,0.4,120.5224,26.490803,0.4,0,2024-04-16 08:37:42,5089
6797,,,ZHELINYU21366-01_8.2,209136601,15,1.2,120.52276,26.490987,23.6,0,2024-04-16 08:41:42,4835
6956,,,ZHELINYU21366-01_8.2,209136601,15,0.3,120.523107,26.491195,47.7,0,2024-04-16 08:45:42,4926
6845,,,ZHELINYU21366-01_8.2,209136601,15,0.1,120.52336,26.491438,76.8,0,2024-04-16 08:48:42,4829
6644,,,ZHELINYU21366-01_8.2,209136601,15,0.5,120.52376,26.491642,76.8,0,2024-04-16 08:53:42,4715
6185,,,ZHELINYU21366-01_8.2,209136601,15,1.1,120.523867,26.49174,58.3,0,2024-04-16 08:54:42,4354
6510,,,ZHELINYU21366-01_8.2,209136601,15,0.3,120.52432,26.49211,24.2,0,2024-04-16 09:00:43,4573
6572,,,ZHELINYU21366-01_8.2,209136601,15,0.5,120.524627,26.49244,24.2,0,2024-04-16 09:05:49,4636
6581,,,ZHELINYU21366-01_8.2,209136601,15,0.2,120.524853,26.49259,141.9,0,2024-04-16 09:08:57,4669
6725,,,ZHELINYU21366-01_8.2,209136601,15,0.3,120.52512,26.492875,360.0,0,2024-04-16 09:13:14,4732
6850,,,ZHELINYU21366-01_8.2,209136601,15,0.6,120.52556,26.493302,59.3,0,2024-04-16 09:18:53,4815
6888,,,ZHELINYU21366-01_8.2,209136601,15,1.7,120.525813,26.493547,59.3,0,2024-04-16 09:22:49,4838
6791,,,ZHELINYU21366-01_8.2,209136601,15,0.7,120.525987,26.493823,59.3,0,2024-04-16 09:26:46,4789
6574,,,ZHELINYU21366-01_8.2,209136601,15,0.9,120.526227,26.494083,360.0,0,2024-04-16 09:30:47,4666
6569,,,ZHELINYU21366-01_8.2,209136601,15,0.6,120.526253,26.494173,360.0,0,2024-04-16 09:31:46,4625
6018,,,ZHELINYU21366-01_8.2,209136601,15,0.4,120.526467,26.4946,360.0,0,2024-04-16 09:38:44,4228
6235,,,ZHELINYU21366-01_8.2,209136601,15,0.7,120.526547,26.494825,360.0,0,2024-04-16 09:41:41,4350
6357,,,ZHELINYU21366-01_8.2,209136601,15,0.8,120.52664,26.49506,292.2,0,2024-04-16 09:45:38,4459
6807,,,ZHELINYU21366-01_8.2,209136601,15,0.4,120.526787,26.495373,292.2,0,2024-04-16 09:50:33,4750
6816,,,ZHELINYU21366-01_8.2,209136601,15,1.2,120.526893,26.49559,5.1,0,2024-04-16 09:54:31,4781
6763,,,ZHELINYU21366-01_8.2,209136601,15,0.9,120.526933,26.495968,294.3,0,2024-04-16 09:57:29,4727
6380,,,ZHELINYU21366-01_8.2,209136601,15,0.6,120.526947,26.49644,294.3,0,2024-04-16 10:02:25,4447
6439,,,ZHELINYU21366-01_8.2,209136601,15,2.2,120.52676,26.496692,258.5,0,2024-04-16 10:04:24,4477
6552,,,ZHELINYU21366-01_8.2,209136601,15,2.7,120.526013,26.493775,158.3,0,2024-04-16 10:13:27,4548
6738,,,ZHELINYU21366-01_8.2,209136601,15,1.6,120.525027,26.489982,230.3,0,2024-04-16 10:26:38,4690
7120,,,ZHELINYU21366-01_8.2,209136601,15,1.8,120.524427,26.488623,211.0,0,2024-04-16 10:30:43,4956
6760,,,ZHELINYU21366-01_8.2,209136601,15,1.6,120.523827,26.487577,196.1,0,2024-04-16 10:33:42,4696
6834,,,ZHELINYU21366-01_8.2,209136601,15,1.4,120.52036,26.481987,225.0,0,2024-04-16 10:49:41,4763
6365,,,ZHELINYU21366-01_8.2,209136601,15,0.9,120.515267,26.474333,221.2,0,2024-04-16 11:10:51,4387
6635,,,ZHELINYU21366-01_8.1,209136601,15,2.6,120.514027,26.47268,248.8,0,2024-04-16 11:16:27,4566
6532,,,ZHELINYU21366-01_8.2,209136601,15,1.0,120.512227,26.469905,209.3,0,2024-04-16 11:23:53,4532
6893,,,ZHELINYU21366-01_8.2,209136601,15,6.2,120.510107,26.46545,289.9,0,2024-04-16 11:34:41,4809
6196,,,ZHELINYU21366-01_8.1,209136601,15,8.7,120.490467,26.554988,13.7,0,2024-04-17 05:17:20,4501
6406,,,ZHELINYU21366-01_8.1,209136601,15,0.2,120.489987,26.559347,339.9,0,2024-04-17 05:21:18,4642
6231,,,ZHELINYU21366-01_8.1,209136601,15,0.8,120.489693,26.55868,339.9,0,2024-04-17 05:25:14,4530
6579,,,ZHELINYU21366-01_8.1,209136601,15,0.7,120.489587,26.557772,240.4,0,2024-04-17 05:30:10,4771
6580,,,ZHELINYU21366-01_8.1,209136601,15,1.2,120.489773,26.557105,240.4,0,2024-04-17 05:35:04,4745
6196,,,ZHELINYU21366-01_8.1,209136601,15,0.4,120.489907,26.556925,240.4,0,2024-04-17 05:39:01,4467
6302,,,ZHELINYU21366-01_8.1,209136601,15,0.1,120.49,26.556888,240.4,0,2024-04-17 05:41:58,4540
6421,,,ZHELINYU21366-01_8.1,209136601,15,0.9,120.490093,26.556783,360.0,0,2024-04-17 05:47:56,4656
6434,,,ZHELINYU21366-01_8.1,209136601,15,1.1,120.490093,26.55675,360.0,0,2024-04-17 05:48:54,4665
6202,,,ZHELINYU21366-01_8.1,209136601,15,0.5,120.49024,26.556662,360.0,0,2024-04-17 05:54:50,4516
6710,,,ZHELINYU21366-01_8.1,209136601,15,0.2,120.49032,26.556637,113.5,0,2024-04-17 05:57:46,4875
6880,,,ZHELINYU21366-01_8.1,209136601,15,0.1,120.490413,26.556572,113.5,0,2024-04-17 06:03:41,4988
