fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
926,,,"GFAD<D""=UUUW9HF^"";",412452864,15,25.8,118.768348,24.781182,0.0,0,2024-04-23 15:13:24,709
1133,,,"GFAD<D""=UUUW9HF^"";",412452864,15,25.6,118.76878,24.780383,0.0,0,2024-04-24 23:56:06,828
721,,,"GFAD<D""=UUUW9HF^"";",412452864,15,25.6,118.76878,24.780383,0.0,0,2024-04-24 23:56:06,531
1209,,,"GFAD<D""=UUUW9HF^"";",412452864,15,25.6,118.76878,24.780383,0.0,0,2024-04-24 23:56:06,840
964,,,"GFAD<D""=UUUW9HF^"";",412452864,15,25.6,118.77807,24.776655,0.0,0,2024-04-27 23:56:16,763
1059,,,"GFAD<D""=UUUW9HF^"";",412452864,15,25.6,118.77807,24.776655,0.0,0,2024-04-27 23:56:16,813
1019,,,"GFAD<D""=UUUW9HF^"";",412452864,15,25.6,118.77807,24.776655,0.0,0,2024-04-27 23:56:16,810
787,,,"GFAD<D""=UUUW9HF^"";",412452864,15,25.8,118.76884,24.780318,0.0,0,2024-04-29 09:33:46,587
789,,,"GFAD<D""=UUUW9HF^"";",412452864,15,25.8,118.76884,24.780318,0.0,0,2024-04-29 09:33:46,581
1031,,,"GFAD<D""=UUUW9HF^"";",412452864,15,25.8,118.76884,24.780318,0.0,0,2024-04-29 09:33:46,777
