fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time,group
651,,,1,100909910,15,7.8,119.797258,26.555215,340.1,30,2024-04-16 11:07:13,467
1075,,,1,100909910,15,7.5,119.81157,26.583358,70.0,30,2024-04-16 11:24:54,857
686,,,1,100909910,15,7.1,119.83065,26.600557,27.3,30,2024-04-16 11:36:56,492
638,,,1,100909910,15,7.3,119.847145,26.617683,68.6,30,2024-04-16 11:48:59,453
179,,,1,100909910,15,6.8,119.805087,26.511237,256.3,0,2024-04-18 10:35:19,114
413,,,1,100909910,15,7.9,119.79777,26.550825,183.7,30,2024-04-18 19:20:38,267
566,,,1                   ,100909910,15,6.7,119.809837,26.583103,240.1,30,2024-04-23 17:22:52,401
1053,,,1                   ,100909910,15,6.7,119.809837,26.583103,240.1,30,2024-04-23 17:22:52,756
996,,,1                   ,100909910,15,6.7,119.809837,26.583103,240.1,30,2024-04-23 17:22:52,780
470,,,1                   ,100909910,15,5.6,119.790903,26.54217,258.6,30,2024-04-23 17:56:39,324
572,,,1                   ,100909910,15,5.6,119.790903,26.54217,258.6,30,2024-04-23 17:56:39,400
240,,,1                   ,100909910,15,5.6,119.790903,26.54217,258.6,30,2024-04-23 17:56:39,159
703,,,1                   ,100909910,15,7.1,119.79518,26.561598,155.4,30,2024-04-24 20:54:37,519
885,,,1                   ,100909910,15,5.2,119.7983,26.551723,186.5,30,2024-04-24 20:59:57,690
233,,,1                   ,100909910,15,4.7,119.797892,26.550168,203.1,30,2024-04-24 21:01:03,153
684,,,1                   ,100909910,15,2.8,119.795225,26.542547,214.0,30,2024-04-24 21:06:37,518
177,,,1                   ,100909910,15,1.0,119.788687,26.541875,259.9,0,2024-04-24 21:10:37,116
238,,,1                   ,100909910,15,1.0,119.788687,26.541875,259.9,0,2024-04-24 21:10:37,152
239,,,1                   ,100909910,15,1.0,119.788687,26.541875,259.9,0,2024-04-24 21:10:37,152
178,,1234567,,100909910,15,6.5,119.83401,26.501565,177.7,30,2024-04-25 21:38:44,119
365,,1234567,,100909910,15,6.5,119.83401,26.501565,177.7,30,2024-04-25 21:38:44,252
120,,1234567,,100909910,15,6.5,119.83401,26.501565,177.7,30,2024-04-25 21:38:44,84
639,,1234567,,100909910,15,7.1,119.849877,26.463842,165.1,30,2024-04-25 22:00:04,458
511,,1234567,,100909910,15,7.1,119.849877,26.463842,165.1,30,2024-04-25 22:00:04,347
637,,1234567,,100909910,15,7.1,119.849877,26.463842,165.1,30,2024-04-25 22:00:04,460
558,,1234567,,100909910,15,6.4,119.894662,26.400098,105.4,30,2024-04-25 22:41:51,389
121,,1234567,,100909910,15,6.9,119.904318,26.396533,132.5,30,2024-04-25 22:46:58,72
